system,seed,BFS,CC,KCore,PR,SSSP
graphit,1,9.500000,5.232558,9.578947,1.302469,6.760000
graphit,2,10.294118,4.857143,9.052632,1.329032,8.086957
graphit,3,9.210526,5.621622,6.172414,1.245614,8.304348
graphit,4,10.470588,5.421053,10.052632,1.277778,7.666667
ligra,1,15.545455,3.308824,4.550000,1.528986,13.000000
ligra,2,8.333333,3.000000,3.909091,1.401361,3.957447
ligra,3,7.608696,2.849315,4.972222,1.448980,4.897436
ligra,4,7.416667,2.985507,4.658537,1.326923,4.842105
graptor,1,19.000000,10.227273,6.275862,11.722222,12.071429
graptor,2,8.750000,8.869565,10.117647,8.956522,4.536585
graptor,3,6.481481,8.000000,13.769231,10.650000,4.775000
graptor,4,8.090909,9.363636,12.733333,10.894737,4.279070
