Implementation,Vertices,Edges,UserTime
grapheasy,50000,50000,0.57
python,50000,50000,0.16
BGL,50000,50000,0.05
graphskew,50000,50000,1.38
grapheasy,50000,200000,1.35
python,50000,200000,0.6
BGL,50000,200000,0.3
graphskew,50000,200000,1.97
grapheasy,50000,500000,2.93
python,50000,500000,1.07
BGL,50000,500000,0.74
graphskew,50000,500000,2.49
grapheasy,50000,750000,3.67
python,50000,750000,1.54
BGL,50000,750000,1.08
graphskew,50000,750000,2.84
grapheasy,50000,1000000,4.92
python,50000,1000000,1.9
BGL,50000,1000000,1.58
graphskew,50000,1000000,3.32
grapheasy,250000,50000,0.85
python,250000,50000,0.33
BGL,250000,50000,0.08
graphskew,250000,50000,1.44
grapheasy,250000,200000,2.58
python,250000,200000,0.6
BGL,250000,200000,0.4
graphskew,250000,200000,2.18
grapheasy,250000,500000,4.31
python,250000,500000,1.43
BGL,250000,500000,0.98
graphskew,250000,500000,3.04
grapheasy,250000,750000,5.81
python,250000,750000,1.97
BGL,250000,750000,1.39
graphskew,250000,750000,3.53
grapheasy,250000,1000000,7.36
python,250000,1000000,2.33
BGL,250000,1000000,1.87
graphskew,250000,1000000,4.1
grapheasy,500000,50000,0.82
python,500000,50000,0.54
BGL,500000,50000,0.11
graphskew,500000,50000,1.45
grapheasy,500000,200000,2.67
python,500000,200000,0.85
BGL,500000,200000,0.29
graphskew,500000,200000,2.27
grapheasy,500000,500000,5.28
python,500000,500000,1.57
BGL,500000,500000,1.06
graphskew,500000,500000,3.64
grapheasy,500000,750000,7.34
python,500000,750000,2.08
BGL,500000,750000,1.52
graphskew,500000,750000,4.35
grapheasy,500000,1000000,9.0
python,500000,1000000,2.61
BGL,500000,1000000,2.03
graphskew,500000,1000000,4.99
grapheasy,750000,50000,0.92
python,750000,50000,0.86
BGL,750000,50000,0.12
graphskew,750000,50000,1.51
grapheasy,750000,200000,3.18
python,750000,200000,1.18
BGL,750000,200000,0.32
graphskew,750000,200000,2.34
grapheasy,750000,500000,6.29
python,750000,500000,1.91
BGL,750000,500000,0.71
graphskew,750000,500000,3.93
grapheasy,750000,750000,9.12
python,750000,750000,2.42
BGL,750000,750000,1.08
graphskew,750000,750000,4.97
grapheasy,750000,1000000,10.31
python,750000,1000000,2.84
BGL,750000,1000000,2.08
graphskew,750000,1000000,5.64
grapheasy,1000000,50000,0.89
python,1000000,50000,1.18
BGL,1000000,50000,0.14
graphskew,1000000,50000,1.46
grapheasy,1000000,200000,2.92
python,1000000,200000,1.49
BGL,1000000,200000,0.35
graphskew,1000000,200000,2.36
grapheasy,1000000,500000,6.67
python,1000000,500000,2.09
BGL,1000000,500000,0.78
graphskew,1000000,500000,3.96
grapheasy,1000000,750000,9.18
python,1000000,750000,2.63
BGL,1000000,750000,1.59
graphskew,1000000,750000,5.27
grapheasy,1000000,1000000,10.98
python,1000000,1000000,3.23
BGL,1000000,1000000,2.05
graphskew,1000000,1000000,6.21
