Implementation,Vertices,Edges,UserTime
p2grapheasy,50000,50000,0.28
p2grapheasy,50000,200000,0.5
p2grapheasy,50000,500000,0.77
p2grapheasy,50000,750000,0.94
p2grapheasy,50000,1000000,1.3
p2grapheasy,250000,50000,0.32
p2grapheasy,250000,200000,0.86
p2grapheasy,250000,500000,1.29
p2grapheasy,250000,750000,1.62
p2grapheasy,250000,1000000,2.11
p2grapheasy,500000,50000,0.39
p2grapheasy,500000,200000,0.94
p2grapheasy,500000,500000,1.81
p2grapheasy,500000,750000,2.32
p2grapheasy,500000,1000000,2.91
p2grapheasy,750000,50000,0.33
p2grapheasy,750000,200000,0.98
p2grapheasy,750000,500000,1.89
p2grapheasy,750000,750000,2.38
p2grapheasy,750000,1000000,2.8
p2grapheasy,1000000,50000,0.35
p2grapheasy,1000000,200000,1.04
p2grapheasy,1000000,500000,2.07
p2grapheasy,1000000,750000,2.63
p2grapheasy,1000000,1000000,3.34
