Implementation,Vertices,Edges,UserTime
grapheasy,50000,50000,2.39
python,50000,50000,0.37
graphskew,50000,50000,1.37
grapheasy,50000,200000,4.35
python,50000,200000,1.51
graphskew,50000,200000,2.11
grapheasy,50000,500000,6.3
python,50000,500000,4.81
graphskew,50000,500000,3.89
grapheasy,50000,750000,7.73
python,50000,750000,8.67
graphskew,50000,750000,5.55
grapheasy,50000,1000000,8.8
python,50000,1000000,13.01
graphskew,50000,1000000,7.38
grapheasy,250000,50000,6.52
python,250000,50000,0.81
graphskew,250000,50000,1.48
grapheasy,250000,200000,36.82
python,250000,200000,1.79
graphskew,250000,200000,2.43
grapheasy,250000,500000,64.3
python,250000,500000,4.21
graphskew,250000,500000,4.37
grapheasy,250000,750000,72.34
python,250000,750000,6.77
graphskew,250000,750000,5.87
grapheasy,250000,1000000,74.94
python,250000,1000000,8.49
graphskew,250000,1000000,7.38
grapheasy,500000,50000,7.27
python,500000,50000,1.4
graphskew,500000,50000,1.7
grapheasy,500000,200000,64.07
python,500000,200000,2.33
graphskew,500000,200000,3.22
grapheasy,500000,500000,171.77
python,500000,500000,4.5
graphskew,500000,500000,6.34
grapheasy,500000,750000,216.33
python,500000,750000,6.37
graphskew,500000,750000,8.31
grapheasy,500000,1000000,242.71
python,500000,1000000,8.58
graphskew,500000,1000000,10.61
grapheasy,750000,50000,7.57
python,750000,50000,2.19
graphskew,750000,50000,1.93
grapheasy,750000,200000,77.12
python,750000,200000,3.04
graphskew,750000,200000,3.88
grapheasy,750000,500000,259.12
python,750000,500000,5.09
graphskew,750000,500000,8.05
grapheasy,750000,750000,376.71
python,750000,750000,6.9
graphskew,750000,750000,11.31
grapheasy,750000,1000000,455.3
python,750000,1000000,9.03
graphskew,750000,1000000,14.34
grapheasy,1000000,50000,7.72
python,1000000,50000,2.67
graphskew,1000000,50000,2.07
grapheasy,1000000,200000,86.77
python,1000000,200000,3.69
graphskew,1000000,200000,4.37
grapheasy,1000000,500000,331.2
python,1000000,500000,6.0
graphskew,1000000,500000,9.0
grapheasy,1000000,750000,521.14
python,1000000,750000,7.33
graphskew,1000000,750000,12.96
grapheasy,1000000,1000000,669.12
python,1000000,1000000,9.11
graphskew,1000000,1000000,16.68
