Implementation,Vertices,Edges,UserTime
grapheasy,50000,50000,0.61
python,50000,50000,0.14
BGL,50000,50000,0.11
graphskew,50000,50000,1.29
grapheasy,50000,200000,1.4
python,50000,200000,0.41
BGL,50000,200000,0.34
graphskew,50000,200000,1.78
grapheasy,50000,500000,2.99
python,50000,500000,1.2
BGL,50000,500000,0.79
graphskew,50000,500000,2.34
grapheasy,50000,750000,4.15
python,50000,750000,1.74
BGL,50000,750000,1.17
graphskew,50000,750000,2.8
grapheasy,50000,1000000,4.92
python,50000,1000000,2.07
BGL,50000,1000000,1.49
graphskew,50000,1000000,3.37
grapheasy,250000,50000,0.69
python,250000,50000,0.28
BGL,250000,50000,0.28
graphskew,250000,50000,1.41
grapheasy,250000,200000,2.14
python,250000,200000,0.61
BGL,250000,200000,0.55
graphskew,250000,200000,2.25
grapheasy,250000,500000,4.95
python,250000,500000,1.47
BGL,250000,500000,1.1
graphskew,250000,500000,3.0
grapheasy,250000,750000,6.9
python,250000,750000,1.97
BGL,250000,750000,1.57
graphskew,250000,750000,3.59
grapheasy,250000,1000000,7.68
python,250000,1000000,2.55
BGL,250000,1000000,1.94
graphskew,250000,1000000,4.15
grapheasy,500000,50000,0.87
python,500000,50000,0.48
BGL,500000,50000,0.46
graphskew,500000,50000,1.45
grapheasy,500000,200000,2.8
python,500000,200000,0.82
BGL,500000,200000,0.75
graphskew,500000,200000,2.35
grapheasy,500000,500000,5.35
python,500000,500000,1.55
BGL,500000,500000,1.36
graphskew,500000,500000,3.62
grapheasy,500000,750000,7.12
python,500000,750000,2.11
BGL,500000,750000,1.89
graphskew,500000,750000,4.38
grapheasy,500000,1000000,9.37
python,500000,1000000,2.75
BGL,500000,1000000,2.26
graphskew,500000,1000000,5.01
grapheasy,750000,50000,0.97
python,750000,50000,0.72
BGL,750000,50000,0.65
graphskew,750000,50000,1.46
grapheasy,750000,200000,3.1
python,750000,200000,1.14
BGL,750000,200000,0.95
graphskew,750000,200000,2.32
grapheasy,750000,500000,6.37
python,750000,500000,1.92
BGL,750000,500000,1.59
graphskew,750000,500000,3.93
grapheasy,750000,750000,8.89
python,750000,750000,2.56
BGL,750000,750000,2.01
graphskew,750000,750000,5.0
grapheasy,750000,1000000,10.72
python,750000,1000000,3.39
BGL,750000,1000000,2.55
graphskew,750000,1000000,5.73
grapheasy,1000000,50000,0.88
python,1000000,50000,1.11
BGL,1000000,50000,0.86
graphskew,1000000,50000,1.5
grapheasy,1000000,200000,3.1
python,1000000,200000,1.43
BGL,1000000,200000,1.16
graphskew,1000000,200000,2.34
grapheasy,1000000,500000,6.56
python,1000000,500000,2.14
BGL,1000000,500000,1.74
graphskew,1000000,500000,4.02
grapheasy,1000000,750000,9.56
python,1000000,750000,2.61
BGL,1000000,750000,2.21
graphskew,1000000,750000,5.28
grapheasy,1000000,1000000,11.92
python,1000000,1000000,3.33
BGL,1000000,1000000,2.76
graphskew,1000000,1000000,6.29
