tag,N,D,H,layout,actual_ms,dp_predicted_total_ns,dp_predicted_total_ms,dp_forced,num_dp_regions,dp_regions,profile_regions,predicted_op_total_ns,predicted_total_ns,predicted_conversion_ns,measured_traverse_ms,measured_insert_ms,pure_kernel_traverse_ms,pure_kernel_insert_ms,pure_kernel_total_ms,total_conversions,total_conversion_ns,ensure_layout_events,est_n,error
N500_D2_H10,500,2,10,CSR,0.0,167542.9,0.1675429,CSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 66082.0, ""predicted_ms"": 0.066082}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 101460.9, ""predicted_ms"": 0.1014609}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 66082.0, ""measured_ns"": 683624.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 101460.892, ""measured_ns"": 20646.0}]",167542.9,167542.9,0.0,,,0.272927,0.019711,0.292638,0,0.0,[],5.0,
N500_D2_H10,500,2,10,PCSR,0.0,66223.752,0.066223752,PCSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 66082.0, ""predicted_ms"": 0.066082}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 141.752, ""predicted_ms"": 0.000141752}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 66082.0, ""measured_ns"": 911045.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 141.752, ""measured_ns"": 3459.0}]",66223.75,66434.69,210.936,,,0.383168,0.002051,0.385219,1,51410.0,"[{""graph"": ""0x72d7cd0"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N500_D2_H10,500,2,10,DP,0.0,66223.752,0.066223752,,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 66082.0, ""predicted_ms"": 0.066082}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 141.752, ""predicted_ms"": 0.000141752}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 66082.0, ""measured_ns"": 734188.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 141.752, ""measured_ns"": 2625.0}]",66223.75,66434.69,210.936,,,0.28522,0.001821,0.287041,1,43413.0,"[{""graph"": ""0x34db4cd0"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N500_D2_H100,500,2,100,CSR,10.0,1675429.0,1.675429,CSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 660820.0, ""predicted_ms"": 0.66082}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 1014609.0, ""predicted_ms"": 1.014609}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 660820.0, ""measured_ns"": 8166960.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 1014608.92, ""measured_ns"": 173045.0}]",1675429.0,1675429.0,0.0,,,3.437076,0.166692,3.603768,0,0.0,[],5.0,
N500_D2_H100,500,2,100,PCSR,10.0,662237.52,0.66223752,PCSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 660820.0, ""predicted_ms"": 0.66082}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 1417.52, ""predicted_ms"": 0.00141752}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 660820.0, ""measured_ns"": 8080527.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 1417.52, ""measured_ns"": 19022.0}]",662237.5,662448.5,210.936,,,3.445247,0.013392,3.458639,1,33803.0,"[{""graph"": ""0x21eafcd0"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N500_D2_H100,500,2,100,DP,10.0,662237.52,0.66223752,,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 660820.0, ""predicted_ms"": 0.66082}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 1417.52, ""predicted_ms"": 0.00141752}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 660820.0, ""measured_ns"": 6869957.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 1417.52, ""measured_ns"": 21848.0}]",662237.5,662448.5,210.936,,,3.051361,0.014979,3.06634,1,88905.0,"[{""graph"": ""0x1c7fecd0"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N500_D16_H10,500,16,10,CSR,0.0,176791.0,0.176791,CSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 70876.0, ""predicted_ms"": 0.070876}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 105915.0, ""predicted_ms"": 0.105915}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 70876.0, ""measured_ns"": 1232794.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 105914.959, ""measured_ns"": 78047.0}]",176791.0,176791.0,0.0,,,0.51632,0.076993,0.593313,0,0.0,[],5.0,
N500_D16_H10,500,16,10,PCSR,0.0,75821.34,0.07582134,PCSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 75670.0, ""predicted_ms"": 0.07567}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 151.34, ""predicted_ms"": 0.00015134}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 75670.0, ""measured_ns"": 1281185.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 151.34, ""measured_ns"": 3187.0}]",75821.34,76661.25,839.9088,,,0.733775,0.002208,0.735983,1,86225.0,"[{""graph"": ""0x3a138e40"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N500_D16_H10,500,16,10,DP,0.0,71027.34,0.07102734,,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 70876.0, ""predicted_ms"": 0.070876}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 151.34, ""predicted_ms"": 0.00015134}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 70876.0, ""measured_ns"": 1076105.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 151.34, ""measured_ns"": 3337.0}]",71027.34,71867.25,839.9088,,,0.47113,0.002365,0.473495,1,92668.0,"[{""graph"": ""0x6cb4e40"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N500_D16_H100,500,16,100,CSR,10.0,1767910.0,1.76791,CSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 708760.0, ""predicted_ms"": 0.70876}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 1059150.0, ""predicted_ms"": 1.05915}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 708760.0, ""measured_ns"": 9576126.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 1059149.59, ""measured_ns"": 320493.0}]",1767910.0,1767910.0,0.0,,,4.016224,0.312753,4.328977,0,0.0,[],5.0,
