workload,n,d,m_actual,H,edge_list,graph_file
N500_D2_H10,500,2,1000,10,el_N500_D2_H10.txt,wl_N500_D2_H10.graph
N500_D2_H100,500,2,1000,100,el_N500_D2_H100.txt,wl_N500_D2_H100.graph
N500_D16_H10,500,16,8000,10,el_N500_D16_H10.txt,wl_N500_D16_H10.graph
N500_D16_H100,500,16,8000,100,el_N500_D16_H100.txt,wl_N500_D16_H100.graph
N500_D64_H10,500,64,32000,10,el_N500_D64_H10.txt,wl_N500_D64_H10.graph
N500_D64_H100,500,64,32000,100,el_N500_D64_H100.txt,wl_N500_D64_H100.graph
N5000_D2_H10,5000,2,10000,10,el_N5000_D2_H10.txt,wl_N5000_D2_H10.graph
N5000_D2_H100,5000,2,10000,100,el_N5000_D2_H100.txt,wl_N5000_D2_H100.graph
N5000_D16_H10,5000,16,80000,10,el_N5000_D16_H10.txt,wl_N5000_D16_H10.graph
N5000_D16_H100,5000,16,80000,100,el_N5000_D16_H100.txt,wl_N5000_D16_H100.graph
N5000_D64_H10,5000,64,320000,10,el_N5000_D64_H10.txt,wl_N5000_D64_H10.graph
N5000_D64_H100,5000,64,320000,100,el_N5000_D64_H100.txt,wl_N5000_D64_H100.graph
N50000_D2_H10,50000,2,100000,10,el_N50000_D2_H10.txt,wl_N50000_D2_H10.graph
N50000_D2_H100,50000,2,100000,100,el_N50000_D2_H100.txt,wl_N50000_D2_H100.graph
N50000_D16_H10,50000,16,800000,10,el_N50000_D16_H10.txt,wl_N50000_D16_H10.graph
N50000_D16_H100,50000,16,800000,100,el_N50000_D16_H100.txt,wl_N50000_D16_H100.graph
N50000_D64_H10,50000,64,3200000,10,el_N50000_D64_H10.txt,wl_N50000_D64_H10.graph
N50000_D64_H100,50000,64,3200000,100,el_N50000_D64_H100.txt,wl_N50000_D64_H100.graph
