graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,predicted_best,measured_best,verdict
synth_n5000_m128_d0.049899,5000,623616,Insert,CSR,11033594.9,17420897,PCSR,PCSR,MISMATCH
synth_n5000_m128_d0.049899,5000,623616,Insert,PCSR,2837.3,59862,PCSR,PCSR,
synth_n5000_m128_d0.049899,5000,623616,Insert,BCSR,45225948.6,34635748,PCSR,PCSR,
synth_n5000_m128_d0.049899,5000,623616,Insert,SET,37430481.5,51345779,PCSR,PCSR,
synth_n5000_m128_d0.049899,5000,623616,Traverse,CSR,185128.0,1534858,CSR,CSR,MATCH
synth_n5000_m128_d0.049899,5000,623616,Traverse,PCSR,277928.0,3377915,CSR,CSR,
synth_n5000_m128_d0.049899,5000,623616,Traverse,BCSR,11669128.0,58121836,CSR,CSR,
synth_n5000_m128_d0.049899,5000,623616,Traverse,SET,452121600.0,27628791546,CSR,CSR,
synth_n5000_m2465_d0.500002,5000,6248775,Insert,CSR,385214314.0,410570979,PCSR,PCSR,MISMATCH
synth_n5000_m2465_d0.500002,5000,6248775,Insert,PCSR,19135.3,241105,PCSR,PCSR,
synth_n5000_m2465_d0.500002,5000,6248775,Insert,BCSR,726844152.8,574313472,PCSR,PCSR,
synth_n5000_m2465_d0.500002,5000,6248775,Insert,SET,374940021.5,605976738,PCSR,PCSR,
synth_n5000_m2465_d0.500002,5000,6248775,Traverse,CSR,1002928.0,22682467,CSR,CSR,
synth_n5000_m2465_d0.500002,5000,6248775,Traverse,PCSR,1907728.0,43854545,CSR,CSR,
synth_n5000_m2465_d0.500002,5000,6248775,Traverse,BCSR,116074928.0,509214101,CSR,CSR,
synth_n5000_m2465_d0.500002,5000,6248775,Traverse,SET,4530362600.0,,CSR,CSR,
synth_n5000_m25_d0.009952,5000,124375,Insert,CSR,2140199.5,1822793,PCSR,PCSR,MATCH
synth_n5000_m25_d0.009952,5000,124375,Insert,PCSR,1387.3,17108,PCSR,PCSR,
synth_n5000_m25_d0.009952,5000,124375,Insert,BCSR,3250931.9,5510772,PCSR,PCSR,
synth_n5000_m25_d0.009952,5000,124375,Insert,SET,4635276.7,15539338,PCSR,PCSR,
synth_n5000_m25_d0.009952,5000,124375,Traverse,CSR,115528.0,387857,CSR,CSR,MATCH
synth_n5000_m25_d0.009952,5000,124375,Traverse,PCSR,132928.0,1415825,CSR,CSR,
synth_n5000_m25_d0.009952,5000,124375,Traverse,BCSR,2406528.0,14386978,CSR,CSR,
synth_n5000_m25_d0.009952,5000,124375,Traverse,SET,90172600.0,4776668809,CSR,CSR,
synth_n5000_m264_d0.100044,5000,1250304,Insert,CSR,51783121.8,41236286,PCSR,PCSR,MATCH
synth_n5000_m264_d0.100044,5000,1250304,Insert,PCSR,4635.3,79627,PCSR,PCSR,
synth_n5000_m264_d0.100044,5000,1250304,Insert,BCSR,92840131.8,147195632,PCSR,PCSR,
synth_n5000_m264_d0.100044,5000,1250304,Insert,SET,75031761.5,111764510,PCSR,PCSR,
synth_n5000_m264_d0.100044,5000,1250304,Traverse,CSR,277928.0,1327324,CSR,CSR,MATCH
synth_n5000_m264_d0.100044,5000,1250304,Traverse,PCSR,457728.0,9783920,CSR,CSR,
synth_n5000_m264_d0.100044,5000,1250304,Traverse,BCSR,23303928.0,126619901,CSR,CSR,
synth_n5000_m264_d0.100044,5000,1250304,Traverse,SET,906470400.0,81175755589,CSR,CSR,
synth_n5000_m3_d0.001200,5000,14991,Insert,CSR,716238.4,868905,PCSR,PCSR,MISMATCH
synth_n5000_m3_d0.001200,5000,14991,Insert,PCSR,1039.3,5834,PCSR,PCSR,
synth_n5000_m3_d0.001200,5000,14991,Insert,BCSR,875512.5,360749,PCSR,PCSR,
synth_n5000_m3_d0.001200,5000,14991,Insert,SET,523215.5,1382265,PCSR,PCSR,
synth_n5000_m3_d0.001200,5000,14991,Traverse,CSR,98128.0,263341,CSR,CSR,MATCH
synth_n5000_m3_d0.001200,5000,14991,Traverse,PCSR,98128.0,484726,CSR,CSR,
synth_n5000_m3_d0.001200,5000,14991,Traverse,BCSR,376528.0,1763872,CSR,CSR,
synth_n5000_m3_d0.001200,5000,14991,Traverse,SET,10869200.0,398348820,CSR,CSR,
synth_n5000_m732_d0.249984,5000,3124176,Insert,CSR,142357599.9,182507525,PCSR,PCSR,MISMATCH
synth_n5000_m732_d0.249984,5000,3124176,Insert,PCSR,10087.3,146796,PCSR,PCSR,
synth_n5000_m732_d0.249984,5000,3124176,Insert,BCSR,270618932.1,171665999,PCSR,PCSR,
synth_n5000_m732_d0.249984,5000,3124176,Insert,SET,187464081.5,424219332,PCSR,PCSR,
synth_n5000_m732_d0.249984,5000,3124176,Traverse,CSR,550528.0,2527924,CSR,CSR,
synth_n5000_m732_d0.249984,5000,3124176,Traverse,PCSR,1002928.0,11928126,CSR,CSR,
synth_n5000_m732_d0.249984,5000,3124176,Traverse,BCSR,58080728.0,268443847,CSR,CSR,
synth_n5000_m732_d0.249984,5000,3124176,Traverse,SET,2265027600.0,,CSR,CSR,
