graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
synth_n5000_m128_d0.049899,5000,623616,Insert,CSR,11033594.9,16683638,2101835,0.093,PCSR,PCSR,MATCH
synth_n5000_m128_d0.049899,5000,623616,Insert,PCSR,2837.3,5728060,1312776,0.170,PCSR,PCSR,
synth_n5000_m128_d0.049899,5000,623616,Insert,BCSR,18003580.2,23840374,2813891,0.087,PCSR,PCSR,
synth_n5000_m128_d0.049899,5000,623616,Insert,SET,37430481.5,34062803,1308251,0.028,PCSR,PCSR,
synth_n5000_m128_d0.049899,5000,623616,Traverse,CSR,370256.0,3971515,2029736,0.379,CSR,CSR,MATCH
synth_n5000_m128_d0.049899,5000,623616,Traverse,PCSR,555856.0,4191775,2265204,0.401,CSR,CSR,
synth_n5000_m128_d0.049899,5000,623616,Traverse,BCSR,23338256.0,22280339,1217611,0.041,CSR,CSR,
synth_n5000_m128_d0.049899,5000,623616,Traverse,SET,904243200.0,13399111068,87559002,0.005,CSR,CSR,
synth_n5000_m2465_d0.500002,5000,6248775,Insert,CSR,385214314.0,390859028,22052239,0.042,PCSR,PCSR,MATCH
synth_n5000_m2465_d0.500002,5000,6248775,Insert,PCSR,19135.3,53685885,3020024,0.042,PCSR,PCSR,
synth_n5000_m2465_d0.500002,5000,6248775,Insert,BCSR,786941295.4,795686366,7768484,0.007,PCSR,PCSR,
synth_n5000_m2465_d0.500002,5000,6248775,Insert,SET,374940021.5,344612577,10892776,0.023,PCSR,PCSR,
synth_n5000_m2465_d0.500002,5000,6248775,Traverse,CSR,2005856.0,25638350,1357842,0.039,CSR,CSR,MATCH
synth_n5000_m2465_d0.500002,5000,6248775,Traverse,PCSR,3815456.0,29701275,1942893,0.048,CSR,CSR,
synth_n5000_m2465_d0.500002,5000,6248775,Traverse,BCSR,232149856.0,199665391,8855558,0.033,CSR,CSR,
synth_n5000_m2465_d0.500002,5000,6248775,Traverse,SET,4530362600.0,201402299045,1615548947,0.006,CSR,CSR,
synth_n5000_m25_d0.009952,5000,124375,Insert,CSR,2140199.5,2323762,348144,0.111,PCSR,CSR,
synth_n5000_m25_d0.009952,5000,124375,Insert,PCSR,1387.3,,,,PCSR,CSR,
synth_n5000_m25_d0.009952,5000,124375,Insert,BCSR,2421533.1,3895266,1669080,0.318,PCSR,CSR,
synth_n5000_m25_d0.009952,5000,124375,Insert,SET,4635276.7,4279182,345307,0.060,PCSR,CSR,
synth_n5000_m25_d0.009952,5000,124375,Traverse,CSR,231056.0,899789,372417,0.307,CSR,PCSR,MISMATCH
synth_n5000_m25_d0.009952,5000,124375,Traverse,PCSR,265856.0,893960,68832,0.057,CSR,PCSR,
synth_n5000_m25_d0.009952,5000,124375,Traverse,BCSR,4813056.0,5050812,1648291,0.242,CSR,PCSR,
synth_n5000_m25_d0.009952,5000,124375,Traverse,SET,180345200.0,2135857293,11268978,0.004,CSR,PCSR,
synth_n5000_m264_d0.100044,5000,1250304,Insert,CSR,51783121.8,33291402,5175611,0.115,PCSR,PCSR,MISMATCH
synth_n5000_m264_d0.100044,5000,1250304,Insert,PCSR,4635.3,10536305,1180589,0.083,PCSR,PCSR,
synth_n5000_m264_d0.100044,5000,1250304,Insert,BCSR,65359819.3,55082559,6512089,0.088,PCSR,PCSR,
synth_n5000_m264_d0.100044,5000,1250304,Insert,SET,75031761.5,71167605,1598770,0.017,PCSR,PCSR,
synth_n5000_m264_d0.100044,5000,1250304,Traverse,CSR,555856.0,6982155,3681656,0.391,CSR,PCSR,MISMATCH
synth_n5000_m264_d0.100044,5000,1250304,Traverse,PCSR,915456.0,6347071,154436,0.018,CSR,PCSR,
synth_n5000_m264_d0.100044,5000,1250304,Traverse,BCSR,46607856.0,40962195,1485837,0.027,CSR,PCSR,
synth_n5000_m264_d0.100044,5000,1250304,Traverse,SET,1812940800.0,30288149900,232028459,0.006,CSR,PCSR,
synth_n5000_m3_d0.001200,5000,14991,Insert,CSR,716238.4,455508,51022,0.083,PCSR,PCSR,MISMATCH
synth_n5000_m3_d0.001200,5000,14991,Insert,PCSR,1039.3,161574,16399,0.075,PCSR,PCSR,
synth_n5000_m3_d0.001200,5000,14991,Insert,BCSR,238465.9,369235,173853,0.349,PCSR,PCSR,
synth_n5000_m3_d0.001200,5000,14991,Insert,SET,523215.5,532537,67640,0.094,PCSR,PCSR,
synth_n5000_m3_d0.001200,5000,14991,Traverse,CSR,196256.0,271836,44932,0.123,CSR,CSR,MATCH
synth_n5000_m3_d0.001200,5000,14991,Traverse,PCSR,196256.0,275142,35728,0.096,CSR,CSR,
synth_n5000_m3_d0.001200,5000,14991,Traverse,BCSR,753056.0,898873,206635,0.170,CSR,CSR,
synth_n5000_m3_d0.001200,5000,14991,Traverse,SET,21738400.0,231125347,6675936,0.021,CSR,CSR,
synth_n5000_m732_d0.249984,5000,3124176,Insert,CSR,142357599.9,95917824,4364637,0.034,PCSR,PCSR,MATCH
synth_n5000_m732_d0.249984,5000,3124176,Insert,PCSR,10087.3,25095906,1179221,0.035,PCSR,PCSR,
synth_n5000_m732_d0.249984,5000,3124176,Insert,BCSR,272290521.2,199525361,14101737,0.052,PCSR,PCSR,
synth_n5000_m732_d0.249984,5000,3124176,Insert,SET,187464081.5,169909417,4141880,0.018,PCSR,PCSR,
synth_n5000_m732_d0.249984,5000,3124176,Traverse,CSR,1101056.0,13233201,300066,0.017,CSR,CSR,MATCH
synth_n5000_m732_d0.249984,5000,3124176,Traverse,PCSR,2005856.0,14877373,679123,0.034,CSR,CSR,
synth_n5000_m732_d0.249984,5000,3124176,Traverse,BCSR,116161456.0,98612969,5172016,0.039,CSR,CSR,
synth_n5000_m732_d0.249984,5000,3124176,Traverse,SET,4530055200.0,88883656945,1035634560,0.009,CSR,CSR,
