algo,n,m,candidate,detail
cc,125000,125000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=0 env=1 shadow=1  R(id,U):PreviousRoundRead ⊗ R(id,V):SameRoundRead ⊗ R(id,U):PreviousRoundRead ⊗ W(id,V) ⊗ Activate(next,V)  temporal=PreviousRoundRead  expr:  pre=ε  pair=R(id,U)⊕R(id,V)⊕R(id,U)⊕W(id,V)⊕Activate(next,V)  epi=ε  gated=1"
cc,250000,250000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=0 env=1 shadow=1  R(id,U):PreviousRoundRead ⊗ R(id,V):SameRoundRead ⊗ R(id,U):PreviousRoundRead ⊗ W(id,V) ⊗ Activate(next,V)  temporal=PreviousRoundRead  expr:  pre=ε  pair=R(id,U)⊕R(id,V)⊕R(id,U)⊕W(id,V)⊕Activate(next,V)  epi=ε  gated=1"
cc,500000,500000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=0 env=1 shadow=1  R(id,U):PreviousRoundRead ⊗ R(id,V):SameRoundRead ⊗ R(id,U):PreviousRoundRead ⊗ W(id,V) ⊗ Activate(next,V)  temporal=PreviousRoundRead  expr:  pre=ε  pair=R(id,U)⊕R(id,V)⊕R(id,U)⊕W(id,V)⊕Activate(next,V)  epi=ε  gated=1"
cc,1000000,1000000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=0 env=1 shadow=1  R(id,U):PreviousRoundRead ⊗ R(id,V):SameRoundRead ⊗ R(id,U):PreviousRoundRead ⊗ W(id,V) ⊗ Activate(next,V)  temporal=PreviousRoundRead  expr:  pre=ε  pair=R(id,U)⊕R(id,V)⊕R(id,U)⊕W(id,V)⊕Activate(next,V)  epi=ε  gated=1"
kcore,125000,125000,0,"[graph-frontier] candidate: main driver=foreach.cond12 inner=foreach_nbr.cond kind=2 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(deg,U):SameRoundRead ⊗ U+(deg,U)  temporal=SameRoundRead  expr:  pre=ε  pair=R(deg,U)⊕U+(deg,U)  epi=ε  gated=0"
kcore,125000,125000,1,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond64 kind=3 red=0 sep=1 data=0 fw=1 env=1 shadow=1  R(alive,V):SameRoundRead ⊗ R(deg,V):SameRoundRead ⊗ U-(deg,V) ⊗ R(deg,V):SameRoundRead ⊗ Activate(next,V) ⊗ R(alive,U):SameRoundRead ⊗ Claim(alive,U)  temporal=SameRoundRead  expr:  pre=R(alive,U)⊕Claim(alive,U)  pair=R(alive,V)⊕R(deg,V)⊕U-(deg,V)⊕R(deg,V)⊕Activate(next,V)  epi=ε  gated=1"
kcore,250000,250000,0,"[graph-frontier] candidate: main driver=foreach.cond12 inner=foreach_nbr.cond kind=2 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(deg,U):SameRoundRead ⊗ U+(deg,U)  temporal=SameRoundRead  expr:  pre=ε  pair=R(deg,U)⊕U+(deg,U)  epi=ε  gated=0"
kcore,250000,250000,1,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond64 kind=3 red=0 sep=1 data=0 fw=1 env=1 shadow=1  R(alive,V):SameRoundRead ⊗ R(deg,V):SameRoundRead ⊗ U-(deg,V) ⊗ R(deg,V):SameRoundRead ⊗ Activate(next,V) ⊗ R(alive,U):SameRoundRead ⊗ Claim(alive,U)  temporal=SameRoundRead  expr:  pre=R(alive,U)⊕Claim(alive,U)  pair=R(alive,V)⊕R(deg,V)⊕U-(deg,V)⊕R(deg,V)⊕Activate(next,V)  epi=ε  gated=1"
kcore,500000,500000,0,"[graph-frontier] candidate: main driver=foreach.cond12 inner=foreach_nbr.cond kind=2 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(deg,U):SameRoundRead ⊗ U+(deg,U)  temporal=SameRoundRead  expr:  pre=ε  pair=R(deg,U)⊕U+(deg,U)  epi=ε  gated=0"
kcore,500000,500000,1,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond64 kind=3 red=0 sep=1 data=0 fw=1 env=1 shadow=1  R(alive,V):SameRoundRead ⊗ R(deg,V):SameRoundRead ⊗ U-(deg,V) ⊗ R(deg,V):SameRoundRead ⊗ Activate(next,V) ⊗ R(alive,U):SameRoundRead ⊗ Claim(alive,U)  temporal=SameRoundRead  expr:  pre=R(alive,U)⊕Claim(alive,U)  pair=R(alive,V)⊕R(deg,V)⊕U-(deg,V)⊕R(deg,V)⊕Activate(next,V)  epi=ε  gated=1"
