algo,n,m,threads,on_ms,on_min_ms,off_ms,off_min_ms,load_on_ms,load_off_ms,on_kernel_ms,off_kernel_ms,speedup_kernel,speedup_e2e,checksum_ok,error
cc,125000,125000,12,99.0890639999975,94.39500099995257,97.0045199999845,96.92663699996729,23.75908400000526,25.738434999993842,75.32997999999225,71.26608499999065,0.946052089752287,0.9789629257168777,True,
cc,250000,250000,12,186.15213100002848,184.7935690000213,243.6971569999855,242.82860699997855,30.642002999996976,41.34316100001456,155.5101280000315,202.35399599997095,1.30122712007497,1.3091290209293829,True,
cc,500000,500000,12,333.2375819999811,332.11290499997403,425.8384309999883,425.5445530000088,48.04938300000572,81.94816099998548,285.1881989999754,343.89027000000283,1.2058362555178257,1.2778823698222983,True,
cc,1000000,1000000,12,683.1874659999926,678.9372949999688,1036.9026070000018,1022.9763730000059,68.12768000000347,130.29380699998683,615.0597859999891,906.608800000015,1.4740173567452695,1.517742433231369,True,
kcore,125000,125000,12,80.68311400000994,76.63677099998267,42.155965999995715,42.00046300002214,23.75908400000526,25.738434999993842,56.92403000000468,16.417531000001873,0.28841125619532776,0.5224880883996436,True,
kcore,250000,250000,12,138.33111799999642,132.83455700002378,74.1393039999707,73.71440699995446,30.642002999996976,41.34316100001456,107.68911499999945,32.796142999956146,0.30454464223200567,0.5359553589379118,True,
kcore,500000,500000,12,248.82942899995442,245.03990700003442,144.84501200001887,143.0437989999973,48.04938300000572,81.94816099998548,200.7800459999487,62.896851000033394,0.313262459358384,0.5821056318866745,True,
kcore,1000000,1000000,12,481.8251709999686,479.5509809999885,295.03450800001474,290.7100549999768,68.12768000000347,130.29380699998683,413.6974909999651,164.7407010000279,0.39821537375493005,0.6123268889994001,True,
bfs_parent,125000,125000,12,35.920195000016975,35.650020999980825,39.17542200002799,38.790433999963625,23.75908400000526,25.738434999993842,12.161111000011715,13.43698700003415,1.104914427639153,1.0906238677159041,True,
bfs_parent,250000,250000,12,40.96577600000728,39.89958900001511,44.48488999997835,43.205206999971324,30.642002999996976,41.34316100001456,10.323773000010306,3.1417289999637887,0.3043198450760834,1.0859037553681503,True,
bfs_parent,500000,500000,12,86.29791900000328,84.15569100003495,175.46353900002032,149.54889200004118,48.04938300000572,81.94816099998548,38.24853599999756,93.51537800003484,2.4449400625435915,2.033230245100275,True,
bfs_parent,1000000,1000000,12,133.21242000000666,128.9151490000222,352.00606500001186,350.2207269999644,68.12768000000347,130.29380699998683,65.0847400000032,221.71225800002503,3.4065167656813893,2.64244178583344,True,
pagerank,125000,125000,12,67.87875200001281,66.4691100000141,169.93125699997336,169.69191700002284,23.75908400000526,25.738434999993842,44.11966800000755,144.19282199997951,3.2682209213350117,2.503452877270656,True,
pagerank,250000,250000,12,112.17686399999138,110.12310799998204,345.13778100000536,343.81868299999496,30.642002999996976,41.34316100001456,81.53486099999441,303.7946199999908,3.725947604178925,3.0767287361503692,True,
pagerank,500000,500000,12,206.47852500002273,204.8587769999699,731.9610600000033,726.1268340000129,48.04938300000572,81.94816099998548,158.429142000017,650.0128990000178,4.102861953263296,3.5449742775909634,True,
pagerank,1000000,1000000,12,458.5972119999724,457.90849700000535,1961.603546000049,1924.7199039999714,68.12768000000347,130.29380699998683,390.4695319999689,1831.309739000062,4.6900195506168405,4.277399632338295,True,
sssp,125000,125000,12,69.71968700003117,63.58226800000466,107.42988199996262,107.20318099998849,24.566581000016185,31.279970000014146,45.153106000014986,76.14991199994847,1.6864822543973652,1.540883022035291,True,
sssp,250000,250000,12,113.09290799999872,112.99412400001074,204.7915390000412,203.04800799999612,33.484905999983994,50.54680099999587,79.60800200001472,154.24473800004534,1.9375531871785554,1.8108256531881162,True,
sssp,500000,500000,12,220.51958800000193,219.05168300003197,443.62338600001294,436.84881899997663,49.72005999999851,87.06612500000688,170.79952800000342,356.55726100000606,2.087577554663962,2.0117187322153396,True,
sssp,1000000,1000000,12,473.02144200000384,459.49727800001483,1009.6988370000304,1000.7259070000032,78.81016100000693,161.24473700000408,394.2112809999969,848.4541000000263,2.152282648654169,2.134573081361547,True,
pagerank_dataidx,125000,125000,12,76.06055499996955,75.5159400000025,185.4912000000013,184.9065530000189,23.75908400000526,25.738434999993842,52.301470999964295,159.75276500000746,3.054460265565313,2.4387305614595576,True,
pagerank_dataidx,250000,250000,12,121.90041400003793,121.22724599998946,373.65757100002384,370.44731800000363,30.642002999996976,41.34316100001456,91.25841100004095,332.3144100000093,3.6414661000382766,3.065269089241219,True,
pagerank_dataidx,500000,500000,12,212.4151060000372,210.6430559999808,727.3597910000262,722.9706720000308,48.04938300000572,81.94816099998548,164.3657230000315,645.4116300000408,3.9266801996175147,3.424237591651786,True,
pagerank_dataidx,1000000,1000000,12,465.7911780000177,459.09640999997237,1809.0138930000421,1767.9218270000092,68.12768000000347,130.29380699998683,397.6634980000142,1678.7200860000553,4.221458832512697,3.8837444297838837,True,
bfs_set,125000,125000,12,59.10610299997643,58.3297279999897,44.44968399997151,44.05441100004737,23.75908400000526,25.738434999993842,35.34701899997117,18.71124899997767,0.5293586143712128,0.7520320532718802,True,
bfs_set,250000,250000,12,68.7718060000293,67.77657699996098,44.49550099997168,44.37730499995496,30.642002999996976,41.34316100001456,38.129803000032325,3.152339999957121,0.0826739125810445,0.6470020723311051,True,
bfs_set,500000,500000,12,164.55045000003565,163.68525500001851,162.58721799999876,157.86206600000696,48.04938300000572,81.94816099998548,116.50106700002993,80.63905700001328,0.6921744072952788,0.9880691180119139,True,
