graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
synth_n5000_d0.001,5000,12158,Insert,CSR,702617.4,,,,PCSR,-,
synth_n5000_d0.001,5000,12158,Insert,PCSR,1039.3,,,,PCSR,-,
synth_n5000_d0.001,5000,12158,Insert,BCSR,793754.6,,,,PCSR,-,
synth_n5000_d0.001,5000,12158,Insert,SET,426893.5,,,,PCSR,-,
synth_n5000_d0.001,5000,12158,Traverse,CSR,98128.0,,,,CSR,-,
synth_n5000_d0.001,5000,12158,Traverse,PCSR,98128.0,,,,CSR,-,
synth_n5000_d0.001,5000,12158,Traverse,BCSR,324328.0,,,,CSR,-,
synth_n5000_d0.001,5000,12158,Traverse,SET,8816000.0,,,,CSR,-,
synth_n5000_d0.01,5000,124330,Insert,CSR,2000126.7,,,,PCSR,-,
synth_n5000_d0.01,5000,124330,Insert,PCSR,1387.3,,,,PCSR,-,
synth_n5000_d0.01,5000,124330,Insert,BCSR,4734774.4,,,,PCSR,-,
synth_n5000_d0.01,5000,124330,Insert,SET,4633604.5,,,,PCSR,-,
synth_n5000_d0.01,5000,124330,Traverse,CSR,115528.0,,,,CSR,-,
synth_n5000_d0.01,5000,124330,Traverse,PCSR,132928.0,,,,CSR,-,
synth_n5000_d0.01,5000,124330,Traverse,BCSR,2400728.0,,,,CSR,-,
synth_n5000_d0.01,5000,124330,Traverse,SET,90143600.0,,,,CSR,-,
synth_n5000_d0.05,5000,624747,Insert,CSR,13149765.0,,,,PCSR,-,
synth_n5000_d0.05,5000,624747,Insert,PCSR,2837.3,,,,PCSR,-,
synth_n5000_d0.05,5000,624747,Insert,BCSR,27984320.3,,,,PCSR,-,
synth_n5000_d0.05,5000,624747,Insert,SET,37498341.5,,,,PCSR,-,
synth_n5000_d0.05,5000,624747,Traverse,CSR,185128.0,,,,CSR,-,
synth_n5000_d0.05,5000,624747,Traverse,PCSR,277928.0,,,,CSR,-,
synth_n5000_d0.05,5000,624747,Traverse,BCSR,11692328.0,,,,CSR,-,
synth_n5000_d0.05,5000,624747,Traverse,SET,452945200.0,,,,CSR,-,
synth_n5000_d0.1,5000,1251837,Insert,CSR,31861767.0,,,,PCSR,-,
synth_n5000_d0.1,5000,1251837,Insert,PCSR,4635.3,,,,PCSR,-,
synth_n5000_d0.1,5000,1251837,Insert,BCSR,124490986.4,,,,PCSR,-,
synth_n5000_d0.1,5000,1251837,Insert,SET,75123741.5,,,,PCSR,-,
synth_n5000_d0.1,5000,1251837,Traverse,CSR,277928.0,,,,CSR,-,
synth_n5000_d0.1,5000,1251837,Traverse,PCSR,457728.0,,,,CSR,-,
synth_n5000_d0.1,5000,1251837,Traverse,BCSR,23332928.0,,,,CSR,-,
synth_n5000_d0.1,5000,1251837,Traverse,SET,907584000.0,,,,CSR,-,
synth_n5000_d0.25,5000,3125594,Insert,CSR,171560787.8,,,,PCSR,-,
synth_n5000_d0.25,5000,3125594,Insert,PCSR,10087.3,,,,PCSR,-,
synth_n5000_d0.25,5000,3125594,Insert,BCSR,327213192.7,,,,PCSR,-,
synth_n5000_d0.25,5000,3125594,Insert,SET,187549161.5,,,,PCSR,-,
synth_n5000_d0.25,5000,3125594,Traverse,CSR,550528.0,,,,CSR,-,
synth_n5000_d0.25,5000,3125594,Traverse,PCSR,1002928.0,,,,CSR,-,
synth_n5000_d0.25,5000,3125594,Traverse,BCSR,58109728.0,,,,CSR,-,
synth_n5000_d0.25,5000,3125594,Traverse,SET,2266060000.0,,,,CSR,-,
synth_n5000_d0.5,5000,6250899,Insert,CSR,348170454.6,,,,PCSR,-,
synth_n5000_d0.5,5000,6250899,Insert,PCSR,19135.3,,,,PCSR,-,
synth_n5000_d0.5,5000,6250899,Insert,BCSR,629784335.1,,,,PCSR,-,
synth_n5000_d0.5,5000,6250899,Insert,SET,375067461.5,,,,PCSR,-,
synth_n5000_d0.5,5000,6250899,Traverse,CSR,1002928.0,,,,CSR,-,
synth_n5000_d0.5,5000,6250899,Traverse,PCSR,1907728.0,,,,CSR,-,
synth_n5000_d0.5,5000,6250899,Traverse,BCSR,116115528.0,,,,CSR,-,
synth_n5000_d0.5,5000,6250899,Traverse,SET,4531905400.0,,,,CSR,-,
synth_n5000_d0.75,5000,9376181,Insert,CSR,531459543.0,,,,PCSR,-,
synth_n5000_d0.75,5000,9376181,Insert,PCSR,28183.3,,,,PCSR,-,
synth_n5000_d0.75,5000,9376181,Insert,BCSR,948966958.5,,,,PCSR,-,
synth_n5000_d0.75,5000,9376181,Insert,SET,562584381.5,,,,PCSR,-,
synth_n5000_d0.75,5000,9376181,Traverse,CSR,1455328.0,,,,CSR,-,
synth_n5000_d0.75,5000,9376181,Traverse,PCSR,2818328.0,,,,CSR,-,
synth_n5000_d0.75,5000,9376181,Traverse,BCSR,174115528.0,,,,CSR,-,
