graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
synth_n5000_d0.001,5000,12158,Insert,CSR,738638.4,454747,186640,0.304,PCSR,PCSR,MATCH
synth_n5000_d0.001,5000,12158,Insert,PCSR,1039.3,152913,14625,0.071,PCSR,PCSR,
synth_n5000_d0.001,5000,12158,Insert,BCSR,1280688.8,362207,117369,0.240,PCSR,PCSR,
synth_n5000_d0.001,5000,12158,Insert,SET,426893.5,521921,63256,0.090,PCSR,PCSR,
synth_n5000_d0.001,5000,12158,Traverse,CSR,196256.0,249325,20382,0.061,CSR,CSR,TIE
synth_n5000_d0.001,5000,12158,Traverse,PCSR,196256.0,280863,60368,0.159,CSR,CSR,
synth_n5000_d0.001,5000,12158,Traverse,BCSR,648656.0,813562,79028,0.072,CSR,CSR,
synth_n5000_d0.001,5000,12158,Traverse,SET,17632000.0,182531411,10772864,0.044,CSR,CSR,
synth_n5000_d0.01,5000,124330,Insert,CSR,2413241.4,2938919,285860,0.072,PCSR,PCSR,MATCH
synth_n5000_d0.01,5000,124330,Insert,PCSR,1387.3,1133052,30379,0.020,PCSR,PCSR,
synth_n5000_d0.01,5000,124330,Insert,BCSR,5140802.3,5230664,357113,0.051,PCSR,PCSR,
synth_n5000_d0.01,5000,124330,Insert,SET,4633604.5,4595852,272645,0.044,PCSR,PCSR,
synth_n5000_d0.01,5000,124330,Traverse,CSR,231056.0,810192,97650,0.089,CSR,CSR,MATCH
synth_n5000_d0.01,5000,124330,Traverse,PCSR,265856.0,1104130,470207,0.316,CSR,CSR,
synth_n5000_d0.01,5000,124330,Traverse,BCSR,4801456.0,4974589,1038326,0.155,CSR,CSR,
synth_n5000_d0.01,5000,124330,Traverse,SET,180287200.0,2072190650,38974797,0.014,CSR,CSR,
synth_n5000_d0.05,5000,624747,Insert,CSR,15259678.7,22004552,1710856,0.058,PCSR,PCSR,MATCH
synth_n5000_d0.05,5000,624747,Insert,PCSR,2837.3,5433068,860527,0.117,PCSR,PCSR,
synth_n5000_d0.05,5000,624747,Insert,BCSR,26500949.3,33349996,3493623,0.078,PCSR,PCSR,
synth_n5000_d0.05,5000,624747,Insert,SET,37498341.5,34615689,2468999,0.053,PCSR,PCSR,
synth_n5000_d0.05,5000,624747,Traverse,CSR,370256.0,3108831,214461,0.051,CSR,CSR,MATCH
synth_n5000_d0.05,5000,624747,Traverse,PCSR,555856.0,3520345,179347,0.038,CSR,CSR,
synth_n5000_d0.05,5000,624747,Traverse,BCSR,23384656.0,21864478,2008370,0.068,CSR,CSR,
synth_n5000_d0.05,5000,624747,Traverse,SET,905890400.0,13388131820,165347834,0.009,CSR,CSR,
synth_n5000_d0.1,5000,1251837,Insert,CSR,30494252.7,41653443,4019892,0.072,PCSR,PCSR,MATCH
synth_n5000_d0.1,5000,1251837,Insert,PCSR,4635.3,11233976,688218,0.045,PCSR,PCSR,
synth_n5000_d0.1,5000,1251837,Insert,BCSR,103911098.3,81038912,14963714,0.137,PCSR,PCSR,
synth_n5000_d0.1,5000,1251837,Insert,SET,75123741.5,72667664,4422182,0.045,PCSR,PCSR,
synth_n5000_d0.1,5000,1251837,Traverse,CSR,555856.0,5359770,186305,0.026,CSR,CSR,MATCH
synth_n5000_d0.1,5000,1251837,Traverse,PCSR,915456.0,6456725,172315,0.020,CSR,CSR,
synth_n5000_d0.1,5000,1251837,Traverse,BCSR,46665856.0,44464652,4412809,0.074,CSR,CSR,
synth_n5000_d0.1,5000,1251837,Traverse,SET,1815168000.0,30507095318,494813769,0.012,CSR,CSR,
synth_n5000_d0.25,5000,3125594,Insert,CSR,153220991.0,122884861,7686678,0.046,PCSR,PCSR,MATCH
synth_n5000_d0.25,5000,3125594,Insert,PCSR,10087.3,27224059,2197504,0.060,PCSR,PCSR,
synth_n5000_d0.25,5000,3125594,Insert,BCSR,323577669.2,265532518,20557841,0.057,PCSR,PCSR,
synth_n5000_d0.25,5000,3125594,Insert,SET,187549161.5,174287384,4929863,0.021,PCSR,PCSR,
synth_n5000_d0.25,5000,3125594,Traverse,CSR,1101056.0,13476885,1432751,0.079,CSR,CSR,MATCH
synth_n5000_d0.25,5000,3125594,Traverse,PCSR,2005856.0,15314529,1239465,0.060,CSR,CSR,
synth_n5000_d0.25,5000,3125594,Traverse,BCSR,116219456.0,99205333,3606861,0.027,CSR,CSR,
synth_n5000_d0.25,5000,3125594,Traverse,SET,4532120000.0,88264004303,1243182201,0.010,CSR,CSR,
synth_n5000_d0.5,5000,6250899,Insert,CSR,344813731.3,288858314,24643516,0.063,PCSR,PCSR,MATCH
synth_n5000_d0.5,5000,6250899,Insert,PCSR,19135.3,50998061,2155724,0.031,PCSR,PCSR,
synth_n5000_d0.5,5000,6250899,Insert,BCSR,665002112.0,553540979,7559404,0.010,PCSR,PCSR,
synth_n5000_d0.5,5000,6250899,Insert,SET,375067461.5,341745370,15336304,0.033,PCSR,PCSR,
synth_n5000_d0.5,5000,6250899,Traverse,CSR,2005856.0,27712752,2766323,0.074,CSR,CSR,MATCH
synth_n5000_d0.5,5000,6250899,Traverse,PCSR,3815456.0,31638951,864193,0.020,CSR,CSR,
synth_n5000_d0.5,5000,6250899,Traverse,BCSR,232231056.0,196759944,9079202,0.034,CSR,CSR,
synth_n5000_d0.5,5000,6250899,Traverse,SET,9063810800.0,197898710366,2096672733,0.008,CSR,CSR,
synth_n5000_d0.75,5000,9376181,Insert,CSR,527801242.3,504870733,32076844,0.047,PCSR,PCSR,MATCH
synth_n5000_d0.75,5000,9376181,Insert,PCSR,28183.3,84671344,9651341,0.084,PCSR,PCSR,
synth_n5000_d0.75,5000,9376181,Insert,BCSR,1001551211.8,851148136,7971193,0.007,PCSR,PCSR,
synth_n5000_d0.75,5000,9376181,Insert,SET,562584381.5,597931784,8539101,0.011,PCSR,PCSR,
synth_n5000_d0.75,5000,9376181,Traverse,CSR,2910656.0,40384704,2326907,0.043,CSR,CSR,MATCH
synth_n5000_d0.75,5000,9376181,Traverse,PCSR,5636656.0,45736360,2633025,0.043,CSR,CSR,
synth_n5000_d0.75,5000,9376181,Traverse,BCSR,348231056.0,301077439,10749900,0.026,CSR,CSR,
synth_n5000_d0.75,5000,9376181,Traverse,SET,13595466800.0,323092095479,2079158399,0.005,CSR,CSR,
