graph,n,m,op,layout,predicted_ns,measured_ns,_pred_ns,_verdict,predicted_best,verdict
synth_n5000_d0.001,5000,12158,Insert,CSR,728749.0,572166,649822.7,MISMATCH,PCSR,MISMATCH
synth_n5000_d0.001,5000,12158,Insert,PCSR,1039.3,184500,708.76,MISMATCH,PCSR,
synth_n5000_d0.001,5000,12158,Insert,BCSR,793174.6,498011,1006019.76,MISMATCH,PCSR,
synth_n5000_d0.001,5000,12158,Insert,SET,426893.5,618230,498704.78,MISMATCH,PCSR,
synth_n5000_d0.001,5000,12158,Traverse,CSR,98128.0,252079,66082.0,MATCH,CSR,MATCH
synth_n5000_d0.001,5000,12158,Traverse,PCSR,98128.0,311962,66082.0,MATCH,CSR,
synth_n5000_d0.001,5000,12158,Traverse,BCSR,324328.0,828875,253048.0,MATCH,CSR,
synth_n5000_d0.001,5000,12158,Traverse,SET,8816000.0,198208860,7286880.0,MATCH,CSR,
synth_n5000_d0.01,5000,124330,Insert,CSR,2846521.5,3123333,1746311.645,MISMATCH,PCSR,MATCH
synth_n5000_d0.01,5000,124330,Insert,PCSR,1387.3,1394783,996.4000000000001,MISMATCH,PCSR,
synth_n5000_d0.01,5000,124330,Insert,BCSR,5336033.2,6327909,4410938.339999999,MISMATCH,PCSR,
synth_n5000_d0.01,5000,124330,Insert,SET,4633604.5,4878235,4985584.78,MISMATCH,PCSR,
synth_n5000_d0.01,5000,124330,Traverse,CSR,115528.0,930947,80464.0,MATCH,CSR,MATCH
synth_n5000_d0.01,5000,124330,Traverse,PCSR,132928.0,1170185,94846.0,MATCH,CSR,
synth_n5000_d0.01,5000,124330,Traverse,BCSR,2400728.0,5322482,1969300.0,MATCH,CSR,
synth_n5000_d0.01,5000,124330,Traverse,SET,90143600.0,1999417267,74508348.0,MATCH,CSR,
synth_n5000_d0.05,5000,624747,Insert,CSR,16193361.6,21998906,6637671.424999999,MATCH,PCSR,MATCH
synth_n5000_d0.05,5000,624747,Insert,PCSR,2837.3,6048218,2194.8999999999996,MATCH,PCSR,
synth_n5000_d0.05,5000,624747,Insert,BCSR,62755657.6,37871981,51511245.84211591,MATCH,PCSR,
synth_n5000_d0.05,5000,624747,Insert,SET,37498341.5,37204271,37908788.1036,MATCH,PCSR,
synth_n5000_d0.05,5000,624747,Traverse,CSR,185128.0,4290880,137992.0,MISMATCH,CSR,MISMATCH
synth_n5000_d0.05,5000,624747,Traverse,PCSR,277928.0,4279649,214696.0,MISMATCH,CSR,
synth_n5000_d0.05,5000,624747,Traverse,BCSR,11692328.0,25368258,9649288.0,MISMATCH,CSR,
synth_n5000_d0.05,5000,624747,Traverse,SET,452945200.0,12969842910,374382636.0,MISMATCH,CSR,
