graph,n,m,op,layout,predicted_ns,measured_ns,_pred_ns,_verdict,predicted_best,verdict
bio-grid-yeast,6008,156945,Insert,CSR,2873975.2,1946966,30786.5407,MATCH,PCSR,MATCH
bio-grid-yeast,6008,156945,Insert,PCSR,1387.3,12083,19.928,MATCH,PCSR,
bio-grid-yeast,6008,156945,Insert,BCSR,4126937.3,3878823,52984.5245,MATCH,PCSR,
bio-grid-yeast,6008,156945,Insert,SET,7040455.6,7782474,171683.39086628024,MATCH,PCSR,
bio-grid-yeast,6008,156945,Traverse,CSR,138818.4,426462,96685.5424,MATCH,CSR,MATCH
bio-grid-yeast,6008,156945,Traverse,PCSR,159726.3,579053,113966.95360000001,MATCH,CSR,
bio-grid-yeast,6008,156945,Traverse,BCSR,3031069.6,6042070,2487280.7584,MATCH,CSR,
bio-grid-yeast,6008,156945,Traverse,SET,136730304.3,3047651494,113014668.77759999,MATCH,CSR,
copresence-InVS15,1871,1283194,Insert,CSR,39824383.7,22207597,174185.83239999998,MATCH,PCSR,MISMATCH
copresence-InVS15,1871,1283194,Insert,PCSR,10957.3,100266,178.13,MATCH,PCSR,
copresence-InVS15,1871,1283194,Insert,BCSR,72644332.1,47695168,1634583.422852,MATCH,PCSR,
copresence-InVS15,1871,1283194,Insert,SET,77005161.5,32586473,1556987.859744,MATCH,PCSR,
copresence-InVS15,1871,1283194,Traverse,CSR,221200.1,995161,177210.64239999998,MATCH,CSR,MATCH
copresence-InVS15,1871,1283194,Traverse,PCSR,407851.1,3155866,331487.3152,MATCH,CSR,
copresence-InVS15,1871,1283194,Traverse,BCSR,23852079.8,41820116,19709354.9848,MATCH,CSR,
copresence-InVS15,1871,1283194,Traverse,SET,348125744.0,30032803635,287743933.91999996,MATCH,CSR,
fb-pages-company,14113,52126,Insert,CSR,1218981.2,821158,18369.1687,MATCH,PCSR,MISMATCH
fb-pages-company,14113,52126,Insert,PCSR,1039.3,6338,14.1752,MATCH,PCSR,
fb-pages-company,14113,52126,Insert,BCSR,2409507.6,1245732,24240.1388,MATCH,PCSR,
fb-pages-company,14113,52126,Insert,SET,1785805.5,1686108,41948.4956,MATCH,PCSR,
fb-pages-company,14113,52126,Traverse,CSR,276976.1,556286,186523.0532,MATCH,CSR,MATCH
fb-pages-company,14113,52126,Traverse,PCSR,293347.2,589210,200054.5976,MATCH,CSR,
fb-pages-company,14113,52126,Traverse,BCSR,1242869.8,2245473,984884.1728000001,MATCH,CSR,
fb-pages-company,14113,52126,Traverse,SET,106673957.3,2165847761,88171543.3104,MATCH,CSR,
ia-dbpedia,365493,780132,Insert,CSR,17636999.7,15079630,153448.0348,MISMATCH,PCSR,MISMATCH
ia-dbpedia,365493,780132,Insert,PCSR,1039.3,14524,14.1752,MISMATCH,PCSR,
ia-dbpedia,365493,780132,Insert,BCSR,42188357.0,13937110,762398.6650884994,MISMATCH,PCSR,
ia-dbpedia,365493,780132,Insert,SET,46821441.5,39241362,946685.114832,MISMATCH,PCSR,
ia-dbpedia,365493,780132,Traverse,CSR,7173019.4,9432103,4830501.6852,MATCH,CSR,
ia-dbpedia,365493,780132,Traverse,PCSR,7173019.4,11721616,4830501.6852,MATCH,CSR,
ia-dbpedia,365493,780132,Traverse,BCSR,21588063.3,38339720,16745281.0908,MATCH,CSR,
ia-dbpedia,365493,780132,Traverse,SET,41344465822.0,,34173339508.7028,MATCH,CSR,
inf-roadNet-PA,1087563,1541514,Insert,CSR,103993704.2,81020805,337212.7411,MATCH,PCSR,MISMATCH
inf-roadNet-PA,1087563,1541514,Insert,PCSR,1039.3,16953,14.1752,MATCH,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,BCSR,159280356.0,116698819,1951037.9536396998,MATCH,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,SET,92504361.5,85165896,1870375.484064,MATCH,PCSR,
inf-roadNet-PA,1087563,1541514,Traverse,CSR,21344076.4,29392053,14373667.633200001,MATCH,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,PCSR,21344076.4,33198818,14373667.633200001,MATCH,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,BCSR,49098684.2,97767228,37314286.53,MATCH,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,SET,243092516785.2,,200928538873.836,MATCH,CSR,
