graph,n,m,op,layout,predicted_ns,measured_ns,_pred_ns,_verdict
bio-grid-yeast,6008,156945,Insert,CSR,30786.5407,1946966,30786.5407,MATCH
bio-grid-yeast,6008,156945,Insert,PCSR,19.928,12083,19.928,MATCH
bio-grid-yeast,6008,156945,Insert,BCSR,52984.5245,3878823,52984.5245,MATCH
bio-grid-yeast,6008,156945,Insert,SET,171683.39086628024,7782474,171683.39086628024,MATCH
bio-grid-yeast,6008,156945,Traverse,CSR,96685.5424,426462,96685.5424,MATCH
bio-grid-yeast,6008,156945,Traverse,PCSR,113966.95360000001,579053,113966.95360000001,MATCH
bio-grid-yeast,6008,156945,Traverse,BCSR,2487280.7584,6042070,2487280.7584,MATCH
bio-grid-yeast,6008,156945,Traverse,SET,113014668.77759999,3047651494,113014668.77759999,MATCH
copresence-InVS15,1871,1283194,Insert,CSR,174185.83239999998,22207597,174185.83239999998,MATCH
copresence-InVS15,1871,1283194,Insert,PCSR,178.13,100266,178.13,MATCH
copresence-InVS15,1871,1283194,Insert,BCSR,1634583.422852,47695168,1634583.422852,MATCH
copresence-InVS15,1871,1283194,Insert,SET,1556987.859744,32586473,1556987.859744,MATCH
copresence-InVS15,1871,1283194,Traverse,CSR,177210.64239999998,995161,177210.64239999998,MATCH
copresence-InVS15,1871,1283194,Traverse,PCSR,331487.3152,3155866,331487.3152,MATCH
copresence-InVS15,1871,1283194,Traverse,BCSR,19709354.9848,41820116,19709354.9848,MATCH
copresence-InVS15,1871,1283194,Traverse,SET,287743933.91999996,30032803635,287743933.91999996,MATCH
fb-pages-company,14113,52126,Insert,CSR,18369.1687,821158,18369.1687,MATCH
fb-pages-company,14113,52126,Insert,PCSR,14.1752,6338,14.1752,MATCH
fb-pages-company,14113,52126,Insert,BCSR,24240.1388,1245732,24240.1388,MATCH
fb-pages-company,14113,52126,Insert,SET,41948.4956,1686108,41948.4956,MATCH
fb-pages-company,14113,52126,Traverse,CSR,186523.0532,556286,186523.0532,MATCH
fb-pages-company,14113,52126,Traverse,PCSR,200054.5976,589210,200054.5976,MATCH
fb-pages-company,14113,52126,Traverse,BCSR,984884.1728000001,2245473,984884.1728000001,MATCH
fb-pages-company,14113,52126,Traverse,SET,88171543.3104,2165847761,88171543.3104,MATCH
ia-dbpedia,365493,780132,Insert,CSR,153448.0348,15079630,153448.0348,MISMATCH
ia-dbpedia,365493,780132,Insert,PCSR,14.1752,14524,14.1752,MISMATCH
ia-dbpedia,365493,780132,Insert,BCSR,762398.6650884994,13937110,762398.6650884994,MISMATCH
ia-dbpedia,365493,780132,Insert,SET,946685.114832,39241362,946685.114832,MISMATCH
ia-dbpedia,365493,780132,Traverse,CSR,4830501.6852,9432103,4830501.6852,MATCH
ia-dbpedia,365493,780132,Traverse,PCSR,4830501.6852,11721616,4830501.6852,MATCH
ia-dbpedia,365493,780132,Traverse,BCSR,16745281.0908,38339720,16745281.0908,MATCH
ia-dbpedia,365493,780132,Traverse,SET,34173339508.7028,,34173339508.7028,MATCH
inf-roadNet-PA,1087563,1541514,Insert,CSR,337212.7411,81020805,337212.7411,MATCH
inf-roadNet-PA,1087563,1541514,Insert,PCSR,14.1752,16953,14.1752,MATCH
inf-roadNet-PA,1087563,1541514,Insert,BCSR,1951037.9536396998,116698819,1951037.9536396998,MATCH
inf-roadNet-PA,1087563,1541514,Insert,SET,1870375.484064,85165896,1870375.484064,MATCH
inf-roadNet-PA,1087563,1541514,Traverse,CSR,14373667.633200001,29392053,14373667.633200001,MATCH
inf-roadNet-PA,1087563,1541514,Traverse,PCSR,14373667.633200001,33198818,14373667.633200001,MATCH
inf-roadNet-PA,1087563,1541514,Traverse,BCSR,37314286.53,97767228,37314286.53,MATCH
inf-roadNet-PA,1087563,1541514,Traverse,SET,200928538873.836,,200928538873.836,MATCH
