graph,n,m,op,layout,predicted_ns,measured_ns,_pred_ns,_verdict
bio-grid-yeast,6008,156945,Insert,CSR,2071200.7100000002,1946966,2071200.7100000002,MATCH
bio-grid-yeast,6008,156945,Insert,PCSR,996.4000000000001,12083,996.4000000000001,MATCH
bio-grid-yeast,6008,156945,Insert,BCSR,5297226.6899999995,3878823,5297226.6899999995,MATCH
bio-grid-yeast,6008,156945,Insert,SET,6290184.78,7782474,6290184.78,MATCH
bio-grid-yeast,6008,156945,Traverse,CSR,96685.5424,426462,96685.5424,MATCH
bio-grid-yeast,6008,156945,Traverse,PCSR,113966.95360000001,579053,113966.95360000001,MATCH
bio-grid-yeast,6008,156945,Traverse,BCSR,2487280.7584,6042070,2487280.7584,MATCH
bio-grid-yeast,6008,156945,Traverse,SET,113014668.77759999,3047651494,113014668.77759999,MATCH
copresence-InVS15,1871,1283194,Insert,CSR,14978682.606771825,22207597,14978682.606771825,MATCH
copresence-InVS15,1871,1283194,Insert,PCSR,8906.5,100266,8906.5,MATCH
copresence-InVS15,1871,1283194,Insert,BCSR,82755456.46260001,47695168,82755456.46260001,MATCH
copresence-InVS15,1871,1283194,Insert,SET,77849392.9872,32586473,77849392.9872,MATCH
copresence-InVS15,1871,1283194,Traverse,CSR,177210.64239999998,995161,177210.64239999998,MATCH
copresence-InVS15,1871,1283194,Traverse,PCSR,331487.3152,3155866,331487.3152,MATCH
copresence-InVS15,1871,1283194,Traverse,BCSR,19709354.9848,41820116,19709354.9848,MATCH
copresence-InVS15,1871,1283194,Traverse,SET,287743933.91999996,30032803635,287743933.91999996,MATCH
fb-pages-company,14113,52126,Insert,CSR,1095099.05,821158,1095099.05,MATCH
fb-pages-company,14113,52126,Insert,PCSR,708.76,6338,708.76,MATCH
fb-pages-company,14113,52126,Insert,BCSR,1716225.6600000001,1245732,1716225.6600000001,MATCH
fb-pages-company,14113,52126,Insert,SET,2097424.78,1686108,2097424.78,MATCH
fb-pages-company,14113,52126,Traverse,CSR,186523.0532,556286,186523.0532,MATCH
fb-pages-company,14113,52126,Traverse,PCSR,200054.5976,589210,200054.5976,MATCH
fb-pages-company,14113,52126,Traverse,BCSR,984884.1728000001,2245473,984884.1728000001,MATCH
fb-pages-company,14113,52126,Traverse,SET,88171543.3104,2165847761,88171543.3104,MATCH
ia-dbpedia,365493,780132,Insert,CSR,10315938.604999999,15079630,10315938.604999999,MATCH
ia-dbpedia,365493,780132,Insert,PCSR,708.76,14524,708.76,MATCH
ia-dbpedia,365493,780132,Insert,BCSR,1073135.76,13937110,1073135.76,MATCH
ia-dbpedia,365493,780132,Insert,SET,47334255.7416,39241362,47334255.7416,MATCH
ia-dbpedia,365493,780132,Traverse,CSR,4830501.6852,9432103,4830501.6852,MATCH
ia-dbpedia,365493,780132,Traverse,PCSR,4830501.6852,11721616,4830501.6852,MATCH
ia-dbpedia,365493,780132,Traverse,BCSR,16745281.0908,38339720,16745281.0908,MATCH
ia-dbpedia,365493,780132,Traverse,SET,34173339508.7028,,34173339508.7028,MATCH
inf-roadNet-PA,1087563,1541514,Insert,CSR,29423151.691601325,81020805,29423151.691601325,MATCH
inf-roadNet-PA,1087563,1541514,Insert,PCSR,708.76,16953,708.76,MATCH
inf-roadNet-PA,1087563,1541514,Insert,BCSR,98154920.741985,116698819,98154920.741985,MATCH
inf-roadNet-PA,1087563,1541514,Insert,SET,93518774.2032,85165896,93518774.2032,MATCH
inf-roadNet-PA,1087563,1541514,Traverse,CSR,14373667.633200001,29392053,14373667.633200001,MATCH
inf-roadNet-PA,1087563,1541514,Traverse,PCSR,14373667.633200001,33198818,14373667.633200001,MATCH
inf-roadNet-PA,1087563,1541514,Traverse,BCSR,37314286.53,97767228,37314286.53,MATCH
inf-roadNet-PA,1087563,1541514,Traverse,SET,200928538873.836,,200928538873.836,MATCH
