graph,n,m,op,layout,predicted_ns,measured_ns,_pred_ns,_verdict,predicted_best,verdict
bio-grid-yeast,6008,156945,Insert,CSR,2873975.2,1946966,2071200.7100000002,MATCH,PCSR,MATCH
bio-grid-yeast,6008,156945,Insert,PCSR,1387.3,12083,996.4000000000001,MATCH,PCSR,
bio-grid-yeast,6008,156945,Insert,BCSR,3983482.7,3878823,5297226.6899999995,MATCH,PCSR,
bio-grid-yeast,6008,156945,Insert,SET,7040455.6,7782474,6290184.78,MATCH,PCSR,
bio-grid-yeast,6008,156945,Traverse,CSR,138818.4,426462,96685.5424,MATCH,CSR,MATCH
bio-grid-yeast,6008,156945,Traverse,PCSR,159726.3,579053,113966.95360000001,MATCH,CSR,
bio-grid-yeast,6008,156945,Traverse,BCSR,3031069.6,6042070,2487280.7584,MATCH,CSR,
bio-grid-yeast,6008,156945,Traverse,SET,136730304.3,3047651494,113014668.77759999,MATCH,CSR,
copresence-InVS15,1871,1283194,Insert,CSR,39824383.7,65885138,14978682.606771825,MATCH,PCSR,MISMATCH
copresence-InVS15,1871,1283194,Insert,PCSR,10957.3,21273451,8906.5,MATCH,PCSR,
copresence-InVS15,1871,1283194,Insert,BCSR,54252565.2,156458458,82755456.46260001,MATCH,PCSR,
copresence-InVS15,1871,1283194,Insert,SET,77005161.5,52674095,77849392.9872,MATCH,PCSR,
copresence-InVS15,1871,1283194,Traverse,CSR,221200.1,11284954,177210.64239999998,MATCH,CSR,MATCH
copresence-InVS15,1871,1283194,Traverse,PCSR,407851.1,11887470,331487.3152,MATCH,CSR,
copresence-InVS15,1871,1283194,Traverse,BCSR,23852079.8,60170333,19709354.9848,MATCH,CSR,
copresence-InVS15,1871,1283194,Traverse,SET,348125744.0,35798511216,287743933.91999996,MATCH,CSR,
fb-pages-company,14113,52126,Insert,CSR,1218981.2,821158,1095099.05,MATCH,PCSR,MATCH
fb-pages-company,14113,52126,Insert,PCSR,1039.3,6338,708.76,MATCH,PCSR,
fb-pages-company,14113,52126,Insert,BCSR,1772979.5,1245732,1716225.6600000001,MATCH,PCSR,
fb-pages-company,14113,52126,Insert,SET,1785805.5,1686108,2097424.78,MATCH,PCSR,
fb-pages-company,14113,52126,Traverse,CSR,276976.1,556286,186523.0532,MATCH,CSR,MATCH
fb-pages-company,14113,52126,Traverse,PCSR,293347.2,589210,200054.5976,MATCH,CSR,
fb-pages-company,14113,52126,Traverse,BCSR,1242869.8,2245473,984884.1728000001,MATCH,CSR,
fb-pages-company,14113,52126,Traverse,SET,106673957.3,2165847761,88171543.3104,MATCH,CSR,
ia-dbpedia,365493,780132,Insert,CSR,17636999.7,15079630,10315938.604999999,MATCH,PCSR,MATCH
ia-dbpedia,365493,780132,Insert,PCSR,1039.3,14524,708.76,MATCH,PCSR,
ia-dbpedia,365493,780132,Insert,BCSR,15822308.7,13937110,1073135.76,MATCH,PCSR,
ia-dbpedia,365493,780132,Insert,SET,46821441.5,39241362,47334255.7416,MATCH,PCSR,
ia-dbpedia,365493,780132,Traverse,CSR,7173019.4,9432103,4830501.6852,MATCH,CSR,
ia-dbpedia,365493,780132,Traverse,PCSR,7173019.4,11721616,4830501.6852,MATCH,CSR,
ia-dbpedia,365493,780132,Traverse,BCSR,21588063.3,38339720,16745281.0908,MATCH,CSR,
ia-dbpedia,365493,780132,Traverse,SET,41344465822.0,,34173339508.7028,MATCH,CSR,
inf-roadNet-PA,1087563,1541514,Insert,CSR,103993704.2,81020805,29423151.691601325,MATCH,PCSR,MISMATCH
inf-roadNet-PA,1087563,1541514,Insert,PCSR,1039.3,16953,708.76,MATCH,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,BCSR,155872676.2,116698819,98154920.741985,MATCH,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,SET,92504361.5,85165896,93518774.2032,MATCH,PCSR,
inf-roadNet-PA,1087563,1541514,Traverse,CSR,21344076.4,29392053,14373667.633200001,MATCH,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,PCSR,21344076.4,33198818,14373667.633200001,MATCH,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,BCSR,49098684.2,97767228,37314286.53,MATCH,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,SET,243092516785.2,,200928538873.836,MATCH,CSR,
