system,algo,graph,real,user,sys,metric_source,log
p1grapheasy,bfs_parent,ER-AvgDeg10-1M-L2,0.41,0.53,0.16,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/bfs_parent/ER-AvgDeg10-1M-L2.txt
p1grapheasy,bfs_parent,road-belgium-osm,0.19,0.19,0.07,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/bfs_parent/road-belgium-osm.txt
p1grapheasy,bfs_parent,rt-retweet-crawl,0.31,0.35,0.08,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/bfs_parent/rt-retweet-crawl.txt
p1grapheasy,bfs_parent,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/bfs_parent/web-google.txt
p1grapheasy,bfs_parent,web-hudong,0.91,1.32,0.44,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/bfs_parent/web-hudong.txt
p1grapheasy,cc,ER-AvgDeg10-1M-L2,0.33,0.45,0.15,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/cc/ER-AvgDeg10-1M-L2.txt
p1grapheasy,cc,road-belgium-osm,1.23,2.39,0.98,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/cc/road-belgium-osm.txt
p1grapheasy,cc,rt-retweet-crawl,0.13,0.17,0.08,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/cc/rt-retweet-crawl.txt
p1grapheasy,cc,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/cc/web-google.txt
p1grapheasy,cc,web-hudong,0.52,0.99,0.41,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/cc/web-hudong.txt
p1grapheasy,kcore,ER-AvgDeg10-1M-L2,0.17,0.29,0.13,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/kcore/ER-AvgDeg10-1M-L2.txt
p1grapheasy,kcore,road-belgium-osm,0.09,0.09,0.07,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/kcore/road-belgium-osm.txt
p1grapheasy,kcore,rt-retweet-crawl,0.1,0.13,0.06,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/kcore/rt-retweet-crawl.txt
p1grapheasy,kcore,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/kcore/web-google.txt
p1grapheasy,kcore,web-hudong,0.46,0.87,0.38,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/kcore/web-hudong.txt
p1grapheasy,pagerank,ER-AvgDeg10-1M-L2,1.43,28.98,0.14,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/pagerank/ER-AvgDeg10-1M-L2.txt
p1grapheasy,pagerank,road-belgium-osm,0.92,17.67,0.08,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/pagerank/road-belgium-osm.txt
p1grapheasy,pagerank,rt-retweet-crawl,1.0,20.58,0.11,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy/pagerank/rt-retweet-crawl.txt
