graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,predicted_best,measured_best,verdict
bio-grid-yeast,6008,156945,Insert,CSR,2873975.2,4832009,PCSR,PCSR,MATCH
bio-grid-yeast,6008,156945,Insert,PCSR,1387.3,46182,PCSR,PCSR,
bio-grid-yeast,6008,156945,Insert,BCSR,4126937.3,11209218,PCSR,PCSR,
bio-grid-yeast,6008,156945,Insert,SET,7040455.6,32621300,PCSR,PCSR,
bio-grid-yeast,6008,156945,Traverse,CSR,138818.4,788453,CSR,CSR,MATCH
bio-grid-yeast,6008,156945,Traverse,PCSR,159726.3,2024496,CSR,CSR,
bio-grid-yeast,6008,156945,Traverse,BCSR,3031069.6,19581779,CSR,CSR,
bio-grid-yeast,6008,156945,Traverse,SET,136730304.3,8991446886,CSR,CSR,
copresence-InVS15,1871,1283194,Insert,CSR,39824383.7,44566524,PCSR,PCSR,MISMATCH
copresence-InVS15,1871,1283194,Insert,PCSR,10957.3,267690,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,BCSR,72644332.1,137853240,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,SET,77005161.5,77642642,PCSR,PCSR,
copresence-InVS15,1871,1283194,Traverse,CSR,221200.1,2009493,CSR,CSR,MATCH
copresence-InVS15,1871,1283194,Traverse,PCSR,407851.1,7170659,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,BCSR,23852079.8,160834253,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,SET,348125744.0,75370793546,CSR,CSR,
fb-pages-company,14113,52126,Insert,CSR,1218981.2,1686732,PCSR,PCSR,MISMATCH
fb-pages-company,14113,52126,Insert,PCSR,1039.3,17123,PCSR,PCSR,
fb-pages-company,14113,52126,Insert,BCSR,2409507.6,6397945,PCSR,PCSR,
fb-pages-company,14113,52126,Insert,SET,1785805.5,7787343,PCSR,PCSR,
fb-pages-company,14113,52126,Traverse,CSR,276976.1,1526179,CSR,CSR,MATCH
fb-pages-company,14113,52126,Traverse,PCSR,293347.2,1798501,CSR,CSR,
fb-pages-company,14113,52126,Traverse,BCSR,1242869.8,7979872,CSR,CSR,
fb-pages-company,14113,52126,Traverse,SET,106673957.3,5856998900,CSR,CSR,
ia-dbpedia,365493,780132,Insert,CSR,17636999.7,48792547,PCSR,PCSR,MISMATCH
ia-dbpedia,365493,780132,Insert,PCSR,1039.3,49456,PCSR,PCSR,
ia-dbpedia,365493,780132,Insert,BCSR,42188357.0,38918534,PCSR,PCSR,
ia-dbpedia,365493,780132,Insert,SET,46821441.5,127136297,PCSR,PCSR,
ia-dbpedia,365493,780132,Traverse,CSR,7173019.4,29046775,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,PCSR,7173019.4,29116855,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,BCSR,21588063.3,160191930,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,SET,41344465822.0,,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Insert,CSR,103993704.2,285249199,PCSR,PCSR,MISMATCH
inf-roadNet-PA,1087563,1541514,Insert,PCSR,1039.3,35642,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,BCSR,159280356.0,173402461,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,SET,92504361.5,294241546,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Traverse,CSR,21344076.4,86431717,CSR,PCSR,
inf-roadNet-PA,1087563,1541514,Traverse,PCSR,21344076.4,85203695,CSR,PCSR,
inf-roadNet-PA,1087563,1541514,Traverse,BCSR,49098684.2,242415850,CSR,PCSR,
inf-roadNet-PA,1087563,1541514,Traverse,SET,243092516785.2,,CSR,PCSR,
