graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
bio-grid-yeast,6008,156945,Insert,CSR,3897411.9,1946966,660880,0.252,PCSR,PCSR,MATCH
bio-grid-yeast,6008,156945,Insert,PCSR,11813.0,12083,2055,0.126,PCSR,PCSR,
bio-grid-yeast,6008,156945,Insert,BCSR,6436853.3,3878823,82205,0.016,PCSR,PCSR,
bio-grid-yeast,6008,156945,Insert,SET,10377175.1,7782474,344563,0.033,PCSR,PCSR,
bio-grid-yeast,6008,156945,Traverse,CSR,462189.4,426462,56977,0.099,CSR,CSR,MATCH
bio-grid-yeast,6008,156945,Traverse,PCSR,511519.3,579053,79156,0.101,CSR,CSR,
bio-grid-yeast,6008,156945,Traverse,BCSR,7286156.9,6042070,1651998,0.203,CSR,CSR,
bio-grid-yeast,6008,156945,Traverse,SET,5830211035.4,3047651494,157372443,0.038,CSR,CSR,
copresence-InVS15,1871,1283194,Insert,CSR,23020679.6,22207597,4892223,0.163,PCSR,PCSR,MATCH
copresence-InVS15,1871,1283194,Insert,PCSR,56971.9,100266,14754,0.109,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,BCSR,14975545.7,47695168,2530937,0.039,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,SET,84706174.7,32586473,6699993,0.152,PCSR,PCSR,
copresence-InVS15,1871,1283194,Traverse,CSR,563834.8,995161,125630,0.094,CSR,CSR,MATCH
copresence-InVS15,1871,1283194,Traverse,PCSR,1004218.5,3155866,135869,0.032,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,BCSR,56318450.9,41820116,2349640,0.042,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,SET,14843838220.6,30032803635,3032745256,0.075,CSR,CSR,
fb-pages-company,14113,52126,Insert,CSR,2381716.7,821158,82501,0.074,PCSR,PCSR,MATCH
fb-pages-company,14113,52126,Insert,PCSR,10170.9,6338,473,0.055,PCSR,PCSR,
fb-pages-company,14113,52126,Insert,BCSR,2808856.2,1245732,856477,0.510,PCSR,PCSR,
fb-pages-company,14113,52126,Insert,SET,3455841.8,1686108,273396,0.120,PCSR,PCSR,
fb-pages-company,14113,52126,Traverse,CSR,969821.4,556286,56573,0.075,CSR,CSR,MATCH
fb-pages-company,14113,52126,Traverse,PCSR,1008447.2,589210,35251,0.044,CSR,CSR,
fb-pages-company,14113,52126,Traverse,BCSR,3248747.7,2245473,643596,0.212,CSR,CSR,
fb-pages-company,14113,52126,Traverse,SET,4549261574.4,2165847761,98233601,0.034,CSR,CSR,
ia-dbpedia,365493,780132,Insert,CSR,26855897.6,15079630,4277965,0.210,PCSR,PCSR,MATCH
ia-dbpedia,365493,780132,Insert,PCSR,10170.9,14524,3879,0.198,PCSR,PCSR,
ia-dbpedia,365493,780132,Insert,BCSR,27803361.5,13937110,846455,0.045,PCSR,PCSR,
ia-dbpedia,365493,780132,Insert,SET,51519299.6,39241362,2585954,0.049,PCSR,PCSR,
ia-dbpedia,365493,780132,Traverse,CSR,25116057.6,9432103,1018816,0.080,CSR,CSR,MATCH
ia-dbpedia,365493,780132,Traverse,PCSR,25116057.6,11721616,1033346,0.065,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,BCSR,59126862.5,38339720,4354716,0.084,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,SET,1762907457709.6,,,,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Insert,CSR,64582421.9,81020805,27446238,0.251,PCSR,PCSR,MATCH
inf-roadNet-PA,1087563,1541514,Insert,PCSR,10170.9,16953,1158,0.051,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,BCSR,54041384.4,116698819,25559995,0.162,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,SET,101782750.7,85165896,4277969,0.037,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Traverse,CSR,74735480.5,29392053,2166545,0.055,CSR,CSR,MATCH
inf-roadNet-PA,1087563,1541514,Traverse,PCSR,74735480.5,33198818,2614479,0.058,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,BCSR,140219606.3,97767228,7983234,0.061,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,SET,10365288256119.9,,,,CSR,CSR,
