graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
road-luxembourg-osm,114600,119666,Insert,CSR,3297038.8,6485932,2244099,0.256,PCSR,PCSR,MISMATCH
road-luxembourg-osm,114600,119666,Insert,PCSR,1039.3,721708,306402,0.315,PCSR,PCSR,
road-luxembourg-osm,114600,119666,Insert,BCSR,3993534.6,4180752,1225538,0.217,PCSR,PCSR,
road-luxembourg-osm,114600,119666,Insert,SET,4460291.0,4522929,2312984,0.379,PCSR,PCSR,
road-luxembourg-osm,114600,119666,Traverse,CSR,2249093.8,3482740,884670,0.188,CSR,PCSR,MATCH
road-luxembourg-osm,114600,119666,Traverse,PCSR,2249093.8,3580309,1075471,0.223,CSR,PCSR,
road-luxembourg-osm,114600,119666,Traverse,BCSR,4376069.8,8219756,810431,0.073,CSR,PCSR,
road-luxembourg-osm,114600,119666,Traverse,SET,1988589624.0,44259428948,577361138,0.010,CSR,PCSR,
road-roadNet-PA,1087563,1541514,Insert,CSR,103993704.2,117220387,1903639,0.012,PCSR,PCSR,MATCH
road-roadNet-PA,1087563,1541514,Insert,PCSR,1039.3,7340800,1581252,0.160,PCSR,PCSR,
road-roadNet-PA,1087563,1541514,Insert,BCSR,155872676.2,131551505,26242548,0.148,PCSR,PCSR,
road-roadNet-PA,1087563,1541514,Insert,SET,92504361.5,88898425,5107655,0.043,PCSR,PCSR,
road-roadNet-PA,1087563,1541514,Traverse,CSR,21344076.4,34211143,3493906,0.076,CSR,CSR,
road-roadNet-PA,1087563,1541514,Traverse,PCSR,21344076.4,36607245,297964,0.006,CSR,CSR,
road-roadNet-PA,1087563,1541514,Traverse,BCSR,49098684.2,94908184,3823558,0.030,CSR,CSR,
road-roadNet-PA,1087563,1541514,Traverse,SET,243092516785.2,,,,CSR,CSR,
road-usroads-48,126147,161950,Insert,CSR,4443005.9,7756013,2811574,0.269,PCSR,PCSR,MISMATCH
road-usroads-48,126147,161950,Insert,PCSR,1039.3,914184,278481,0.226,PCSR,,
road-usroads-48,126147,161950,Insert,BCSR,5694129.3,6174797,2302225,0.276,PCSR,,
road-usroads-48,126147,161950,Insert,SET,7264545.6,9437568,555739,0.044,PCSR,,
road-usroads-48,126147,161950,Traverse,CSR,2475710.6,4173543,930470,0.165,CSR,CSR,MATCH
road-usroads-48,126147,161950,Traverse,PCSR,2475710.6,4622284,574932,0.092,CSR,CSR,
road-usroads-48,126147,161950,Traverse,BCSR,5402321.0,11993523,578446,0.036,CSR,CSR,
road-usroads-48,126147,161950,Traverse,SET,2962315046.9,67747892582,413907031,0.005,CSR,CSR,
soc-LiveMocha,104104,2193083,Insert,CSR,79283617.6,67367448,3248635,0.036,PCSR,PCSR,MISMATCH
soc-LiveMocha,104104,2193083,Insert,PCSR,1329.3,11813972,650545,0.041,PCSR,PCSR,
soc-LiveMocha,104104,2193083,Insert,BCSR,133361041.7,125265221,11950852,0.071,PCSR,PCSR,
soc-LiveMocha,104104,2193083,Insert,SET,131598501.5,157149715,12260182,0.058,PCSR,PCSR,
soc-LiveMocha,104104,2193083,Traverse,CSR,2284624.7,13053837,926332,0.053,CSR,CSR,
soc-LiveMocha,104104,2193083,Traverse,PCSR,2646906.7,15970286,2193198,0.102,CSR,CSR,
soc-LiveMocha,104104,2193083,Traverse,BCSR,42739439.1,80509633,3508025,0.032,CSR,CSR,
soc-LiveMocha,104104,2193083,Traverse,SET,33104838807.0,,,,CSR,CSR,
