graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
road-luxembourg-osm,114600,119666,Insert,CSR,4581952.8,6485932,2244099,0.256,PCSR,PCSR,MATCH
road-luxembourg-osm,114600,119666,Insert,PCSR,1039.3,721708,306402,0.315,PCSR,PCSR,
road-luxembourg-osm,114600,119666,Insert,BCSR,4808924.7,4180752,1225538,0.217,PCSR,PCSR,
road-luxembourg-osm,114600,119666,Insert,SET,4460291.0,4522929,2312984,0.379,PCSR,PCSR,
road-luxembourg-osm,114600,119666,Traverse,CSR,4498187.5,3482740,884670,0.188,CSR,CSR,TIE
road-luxembourg-osm,114600,119666,Traverse,PCSR,4498187.5,3580309,1075471,0.223,CSR,CSR,
road-luxembourg-osm,114600,119666,Traverse,BCSR,8752139.5,8219756,810431,0.073,CSR,CSR,
road-luxembourg-osm,114600,119666,Traverse,SET,3977179248.0,44259428948,577361138,0.010,CSR,CSR,
road-roadNet-PA,1087563,1541514,Insert,CSR,118157151.8,117220387,1903639,0.012,PCSR,PCSR,MATCH
road-roadNet-PA,1087563,1541514,Insert,PCSR,1039.3,7340800,1581252,0.160,PCSR,PCSR,
road-roadNet-PA,1087563,1541514,Insert,BCSR,139145871.9,131551505,26242548,0.148,PCSR,PCSR,
road-roadNet-PA,1087563,1541514,Insert,SET,92504361.5,88898425,5107655,0.043,PCSR,PCSR,
road-roadNet-PA,1087563,1541514,Traverse,CSR,42688152.8,34211143,3493906,0.076,CSR,CSR,TIE
road-roadNet-PA,1087563,1541514,Traverse,PCSR,42688152.8,36607245,297964,0.006,CSR,CSR,
road-roadNet-PA,1087563,1541514,Traverse,BCSR,98197368.3,94908184,3823558,0.030,CSR,CSR,
road-roadNet-PA,1087563,1541514,Traverse,SET,486185033570.4,,,,CSR,CSR,
road-usroads-48,126147,161950,Insert,CSR,6228964.8,7756013,2811574,0.269,PCSR,PCSR,MATCH
road-usroads-48,126147,161950,Insert,PCSR,1039.3,914184,278481,0.226,PCSR,PCSR,
road-usroads-48,126147,161950,Insert,BCSR,6866185.6,6174797,2302225,0.276,PCSR,PCSR,
road-usroads-48,126147,161950,Insert,SET,7264545.6,9437568,555739,0.044,PCSR,PCSR,
road-usroads-48,126147,161950,Traverse,CSR,4951421.1,4173543,930470,0.165,CSR,CSR,TIE
road-usroads-48,126147,161950,Traverse,PCSR,4951421.1,4622284,574932,0.092,CSR,CSR,
road-usroads-48,126147,161950,Traverse,BCSR,10804641.9,11993523,578446,0.036,CSR,CSR,
road-usroads-48,126147,161950,Traverse,SET,5924630093.8,67747892582,413907031,0.005,CSR,CSR,
soc-LiveMocha,104104,2193083,Insert,CSR,55216340.5,67367448,3248635,0.036,PCSR,PCSR,MATCH
soc-LiveMocha,104104,2193083,Insert,PCSR,1329.3,11813972,650545,0.041,PCSR,PCSR,
soc-LiveMocha,104104,2193083,Insert,BCSR,119968252.9,125265221,11950852,0.071,PCSR,PCSR,
soc-LiveMocha,104104,2193083,Insert,SET,131598501.5,157149715,12260182,0.058,PCSR,PCSR,
soc-LiveMocha,104104,2193083,Traverse,CSR,4569249.5,13053837,926332,0.053,CSR,CSR,MATCH
soc-LiveMocha,104104,2193083,Traverse,PCSR,5293813.3,15970286,2193198,0.102,CSR,CSR,
soc-LiveMocha,104104,2193083,Traverse,BCSR,85478878.3,80509633,3508025,0.032,CSR,CSR,
soc-LiveMocha,104104,2193083,Traverse,SET,66209677614.1,,,,CSR,CSR,
bio-grid-yeast,6008,156945,Insert,CSR,2334591.2,3391186,1325120,0.290,PCSR,PCSR,MATCH
bio-grid-yeast,6008,156945,Insert,PCSR,1387.3,917104,372082,0.301,PCSR,PCSR,
bio-grid-yeast,6008,156945,Insert,BCSR,4559463.3,4572454,3344146,0.542,PCSR,PCSR,
bio-grid-yeast,6008,156945,Insert,SET,7040455.6,6575926,831040,0.094,PCSR,PCSR,
bio-grid-yeast,6008,156945,Traverse,CSR,277636.9,1009596,396096,0.291,CSR,CSR,MATCH
bio-grid-yeast,6008,156945,Traverse,PCSR,319452.6,1155131,346340,0.222,CSR,CSR,
bio-grid-yeast,6008,156945,Traverse,BCSR,6062139.3,5148915,426467,0.061,CSR,CSR,
bio-grid-yeast,6008,156945,Traverse,SET,273460608.6,2973160825,62027530,0.015,CSR,CSR,
copresence-InVS15,1871,1283194,Insert,CSR,19360501.9,20884249,273637,0.010,PCSR,PCSR,MATCH
copresence-InVS15,1871,1283194,Insert,PCSR,10957.3,5569735,545663,0.073,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,BCSR,58294068.2,47086290,2344949,0.037,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,SET,77005161.5,26952558,821349,0.023,PCSR,PCSR,
copresence-InVS15,1871,1283194,Traverse,CSR,442400.2,6521469,2131318,0.242,CSR,PCSR,NOISE
copresence-InVS15,1871,1283194,Traverse,PCSR,815702.1,6474758,1429737,0.164,CSR,PCSR,
copresence-InVS15,1871,1283194,Traverse,BCSR,47704159.6,35892411,2175031,0.045,CSR,PCSR,
copresence-InVS15,1871,1283194,Traverse,SET,696251488.0,26666577360,314843395,0.009,CSR,PCSR,
