graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
bio-grid-yeast,6008,156945,Insert,CSR,2873975.2,2657668,1098640,0.306,PCSR,PCSR,MATCH
bio-grid-yeast,6008,156945,Insert,PCSR,1387.3,766164,104490,0.101,PCSR,PCSR,
bio-grid-yeast,6008,156945,Insert,BCSR,3983482.7,3768407,297980,0.059,PCSR,PCSR,
bio-grid-yeast,6008,156945,Insert,SET,7040455.6,6369551,357147,0.042,PCSR,PCSR,
bio-grid-yeast,6008,156945,Traverse,CSR,138818.4,1136668,691273,0.451,CSR,PCSR,MISMATCH
bio-grid-yeast,6008,156945,Traverse,PCSR,159726.3,983848,70381,0.053,CSR,PCSR,
bio-grid-yeast,6008,156945,Traverse,BCSR,3031069.6,5105135,353664,0.051,CSR,PCSR,
bio-grid-yeast,6008,156945,Traverse,SET,136730304.3,2960366039,82564096,0.021,CSR,PCSR,
copresence-InVS15,1871,1283194,Insert,CSR,39824383.7,21386450,2023217,0.070,PCSR,PCSR,MISMATCH
copresence-InVS15,1871,1283194,Insert,PCSR,10957.3,5168386,202066,0.029,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,BCSR,54252565.2,47353019,2952129,0.046,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,SET,77005161.5,27088922,1459149,0.040,PCSR,PCSR,
copresence-InVS15,1871,1283194,Traverse,CSR,221200.1,4856695,558861,0.085,CSR,CSR,MATCH
copresence-InVS15,1871,1283194,Traverse,PCSR,407851.1,5286732,177441,0.025,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,BCSR,23852079.8,36433238,2704996,0.055,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,SET,348125744.0,26464038278,262891957,0.007,CSR,CSR,
fb-pages-company,14113,52126,Insert,CSR,1218981.2,1583879,756715,0.354,PCSR,PCSR,MISMATCH
fb-pages-company,14113,52126,Insert,PCSR,1039.3,369712,79024,0.158,PCSR,PCSR,
fb-pages-company,14113,52126,Insert,BCSR,1772979.5,1478254,298683,0.150,PCSR,PCSR,
fb-pages-company,14113,52126,Insert,SET,1785805.5,1908146,310942,0.121,PCSR,PCSR,
fb-pages-company,14113,52126,Traverse,CSR,276976.1,789610,122683,0.115,CSR,CSR,MATCH
fb-pages-company,14113,52126,Traverse,PCSR,293347.2,899448,187480,0.155,CSR,CSR,
fb-pages-company,14113,52126,Traverse,BCSR,1242869.8,2647366,434541,0.122,CSR,CSR,
fb-pages-company,14113,52126,Traverse,SET,106673957.3,2108176917,11680105,0.004,CSR,CSR,
ia-dbpedia,365493,780132,Insert,CSR,17636999.7,23537309,1884495,0.059,PCSR,PCSR,MATCH
ia-dbpedia,365493,780132,Insert,PCSR,1039.3,3807059,316354,0.062,PCSR,PCSR,
ia-dbpedia,365493,780132,Insert,BCSR,15822308.7,21717434,2198884,0.075,PCSR,PCSR,
ia-dbpedia,365493,780132,Insert,SET,46821441.5,38708708,2069515,0.040,PCSR,PCSR,
ia-dbpedia,365493,780132,Traverse,CSR,7173019.4,11934858,649212,0.040,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,PCSR,7173019.4,13178120,851237,0.048,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,BCSR,21588063.3,37428394,2440245,0.048,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,SET,41344465822.0,,,,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Insert,CSR,103993704.2,96812775,8127868,0.062,PCSR,PCSR,MATCH
inf-roadNet-PA,1087563,1541514,Insert,PCSR,1039.3,7337108,301539,0.030,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,BCSR,155872676.2,100022055,3520616,0.026,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,SET,92504361.5,79575652,1904152,0.018,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Traverse,CSR,21344076.4,31451964,2226159,0.052,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,PCSR,21344076.4,33558023,1894267,0.042,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,BCSR,49098684.2,84919108,4440247,0.039,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,SET,243092516785.2,,,,CSR,CSR,
